tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
24thMichigan,2012,1999,2022,72,1157490,7889765,4310000,37000000,4585553,5217029,0,0,20026,0,
26thKing,2012,2006,2030,141,810162,3005570,0,0,17397,1065721,0,0,14066,0,
35thHalsted,2012,1997,2021,1,0,36235145,0,1743618,2502831,23779182,0,905000,93628,0,
35thState,2012,2004,2028,131,470515,6281385,0,0,2806878,2182315,0,334000,17681,0,
35thWallace,2012,1999,2023,79,722627,4258307,0,0,31162,3556109,0,297000,13717,0,
40thState,2012,2004,2012,132,0,0,0,0,0,0,0,0,0,0,
40thState,2012,2004,2012,132,0,0,0,0,0,0,0,0,0,0,
41stKing,2012,1994,2018,2,0,0,0,0,5833,906489,0,130000,0,0,
43rdCottageGrove,2012,1998,2022,55,2719657,21035408,0,0,350112,11088800,0,451000,51486,0,
45thWestern,2012,2002,2026,120,93342,1060234,0,0,3604,403598,0,0,0,0,
47thAshland,2012,2002,2026,117,2550635,21184090,218826,1600604,2422783,20299523,0,0,46569,0,
47thHalsted,2012,2002,2026,121,3041918,22634804,3950064,3950064,4914264,0,218826,1150000,55546,0,
47thKing,2012,2002,2026,118,7161911,54121627,0,0,2855099,28608572,7053272,2817000,133023,0,
47thState,2012,2004,2028,136,1731818,10908984,0,0,672783,6619932,0,746000,32070,0,
49thStLawrence,2012,1996,2020,4,457115,4155787,0,0,85855,2351632,0,376000,0,0,
51stArcher,2012,2000,2024,97,547333,6042956,2383126,15370048,2934442,13110997,0,0,0,0,
51stLakePark,2012,2012,2036,175,0,0,0,0,0,0,0,0,0,0,
53rd,2012,2001,2025,105,579874,6730736,0,0,378713,2584854,0,0,10376,0,
60thWestern,2012,1996,2019,5,356479,4422901,0,0,13652,3530204,0,429000,0,0,
63rdAshland,2012,2006,2030,143,1400060,2988883,0,0,102687,2877483,0,0,26380,0,
63rdPulaski,2012,2000,2024,98,2401905,19962262,0,0,340965,6358600,1526206,657000,42615,0,
67thCicero,2012,2002,2026,124,93877,2046862,0,0,307650,453209,0,21000,0,0,
67thWentworth,2012,2011,2035,174,0,0,0,0,0,0,0,0,0,0,
69thAshland,2012,2004,2028,138,520497,2904596,0,0,250079,1290446,0,52000,11809,0,
71stStonyIsland,2012,1998,2021,60,3321889,29165377,4318608,25915602,6470834,17092996,0,0,63890,6027042,Wells Fargo Bank
72ndCicero,2012,1993,2012,6,257571,3971040,0,0,7450,2456771,0,458000,0,0,
73rdKedzie,2012,1993,2012,7,0,562315,0,0,77443,279176,0,69000,0,0,
73rdUniversity,2012,2006,2030,145,541682,3228245,0,0,217332,2796027,0,41000,10245,0,
79th,2012,1998,2021,56,0,7985953,0,0,879229,5550913,0,249000,15984,0,
79thCicero,2012,2005,2029,140,647454,2165304,0,0,512316,722537,0,0,0,0,
79thSWHighway,2012,2001,2025,112,0,10968922,0,0,489754,6321196,0,99000,0,0,
79thVincennes,2012,2007,2031,155,336783,2397008,0,0,13204,2194305,0,0,0,0,
83rdStewart,2012,2004,2028,133,401956,1877060,0,0,1682222,151730,0,0,0,0,
87thCottageGrove,2012,2002,2026,127,2014533,17295125,0,0,531914,6614822,1485546,264000,39502,0,
89thState,2012,1998,2021,49,358015,3979564,0,0,9759,437197,0,0,0,0,
95thStonyIsland,2012,1990,2014,8,1023822,13251102,0,0,839848,2275732,0,0,0,0,
95thWestern,2012,1995,2018,9,922430,9863808,0,0,2144832,3474848,0,114000,16152,0,
105thVincennes,2012,2001,2025,111,352585,1904928,553381,553381,2197841,181644,0,18000,0,0,
111thKedzie,2012,1999,2022,73,705857,5247198,0,0,236611,3012177,0,131000,11919,0,
119thHalsted,2012,2002,2026,114,0,5250161,0,0,677586,3463124,0,21000,0,193046,Local Initiatives Support Corporation
119thI57,2012,2002,2026,125,2520330,10778771,0,0,497667,6773745,553381,229000,42947,202188,Local Initiatives Support Corporation
126thTorrence,2012,1994,2017,10,668885,6372223,0,0,592822,1357049,0,0,13354,0,
134thAvenueK,2012,2008,2032,159,0,25519,0,0,1183,21060,0,0,0,0,
AddisonNorth,2012,1997,2020,11,1527279,15867696,0,0,45806,9191886,0,1005000,27926,0,
AddisonSouth,2012,2007,2031,150,2967567,11392216,0,0,320392,10182147,0,620000,54947,0,
ArcherCentral,2012,2000,2024,99,752002,7127260,0,240000,319132,3334113,0,0,12714,0,
ArcherCourts,2012,1999,2023,67,304957,3096429,0,2235487,121408,15916811,0,221000,0,0,
ArcherWestern,2012,2009,2033,163,17336,999556,0,0,122037,862109,0,0,0,0,
ArmitagePulaski,2012,2007,2031,151,252216,1563268,0,0,24987,1240597,0,63000,0,0,
AustinCommercial,2012,2007,2031,156,872721,6269095,0,0,529294,4485161,0,256000,18091,0,
AvalonSouthShore,2012,2002,2026,123,632085,5864196,0,0,60793,2953460,452327,215000,12059,0,
Avondale,2012,2009,2033,167,29122,536141,0,1000000,213468,1221095,0,0,0,0,
BelmontCentral,2012,2000,2024,81,2832767,27380561,0,0,702542,11304759,1868759,1491000,51519,0,
BelmontCicero,2012,2000,2024,82,1144009,11265892,0,0,363516,4024612,0,176000,19212,0,
Bronzeville,2012,1998,2022,61,3842884,36133058,2500000,2500000,7305102,14951517,0,1035000,71387,0,
BrynMawrBroadway,2012,1996,2019,13,2006168,16053612,0,4684947,594432,0,0,906000,37126,0,
CalumetCermak,2012,1998,2021,59,13038537,98909759,0,0,170343,17640943,4000000,10000,157931,0,
CalumetRiver,2012,2010,2034,168,0,0,0,0,0,0,0,0,0,0,
CanalCongress,2012,1998,2022,63,18858179,158334425,0,1091731,9335655,49237938,0,2957000,371805,0,
CentralWest,2012,2000,2024,86,14583434,110520196,17940520,58919163,40379511,56159644,0,0,283349,5202417,Wells Fargo Bank
