,Name of Redevelopment Project Area,Date Designated MM/DD/YYYY,Date Terminated MM/DD/YYYY
56,Diversey/Narragansett,2/5/2003,12/31/2027
57,Division/Homan,6/27/2001,12/31/2025
58,Edgewater/Ashland,10/1/2003,12/31/2027
59,Elston/Armstrong Industrial Corridor,7/19/2007,12/31/2031
60,Englewood Mall,11/29/1989,12/31/2025
61,Englewood Neighborhood,6/27/2001,12/31/2025
62,Ewing Avenue,3/10/2010,12/31/2034
63,Foster/California,4/2/2014,12/31/2038
64,Foster/Edens,2/28/2018,12/31/2042
65,Fullerton/Milwaukee,2/16/2000,12/31/2024
66,Galewood/Armitage Industrial,7/7/1999,12/31/2023
67,Goose Island,7/10/1996,12/31/2032
68,Greater Southwest Industrial (East),3/10/1999,12/31/2023
69,Greater Southwest Industrial (West),4/12/2000,12/31/2024
70,Harrison/Central,7/26/2006,12/31/2030
71,Hollywood/Sheridan,11/7/2007,12/31/2031
72,Homan/Arthington,2/5/1998,12/31/2022
73,Humboldt Park Commercial,6/27/2001,12/31/2025
74,Jefferson Park,9/9/1998,12/31/2022
75,Jefferson/Roosevelt,8/30/2000,12/31/2024
76,Kennedy/Kimball,3/12/2008,12/31/2032
77,Kinzie Industrial Corridor,6/10/1998,12/31/2022
78,Lake Calumet Area Industrial,12/13/2000,12/31/2024
79,Lakefront,3/27/2002,12/31/2026
80,LaSalle Central,11/15/2006,12/31/2030
81,Lawrence/Broadway,6/27/2001,12/31/2025
82,Lawrence/Kedzie,2/16/2000,12/31/2024
83,Lawrence/Pulaski,2/27/2002,12/31/2026
84,Lincoln Avenue,11/3/1999,12/31/2023
85,Little Village East,4/22/2009,12/31/2033
86,Little Village Industrial Corridor,6/13/2007,12/31/2031
87,Madden/Wells,11/6/2002,12/31/2026
88,Madison/Austin Corridor,9/29/1999,12/31/2023
89,Michigan/Cermak,9/13/1989,12/31/2025
90,Midway Industrial Corridor,2/16/2000,12/31/2024
91,Midwest,5/17/2000,12/31/2036
92,Montclare,8/30/2000,12/31/2024
93,Montrose/Clarendon,6/30/2010,12/31/2034
94,Near North,7/30/1997,12/31/2033
95,North Branch North,7/2/1997,12/31/2021
96,North Branch South,2/5/1998,12/31/2022
97,North Pullman,6/30/2009,12/31/2033
98,North/Cicero,7/30/1997,12/31/2021
99,Northwest Industrial Corridor,12/2/1998,12/31/2022
100,Ogden/Pulaski,4/9/2008,12/31/2032
101,Ohio/Wabash,6/7/2000,12/31/2024
102,Peterson/Cicero,2/16/2000,12/31/2024
103,Peterson/Pulaski,2/16/2000,12/31/2024
104,Pilsen Industrial Corridor,6/10/1998,12/31/2022
105,Portage Park,9/9/1998,12/31/2022
106,Pratt/Ridge Industrial Park Conservation Area,6/23/2004,12/31/2028
107,Pulaski Industrial Corridor,6/9/1999,12/31/2023
108,Randolph/Wells,6/9/2010,12/31/2034
109,Red Purple Modernization Phase One (Transit TIF),11/30/2016,12/31/2052
110,River South,7/30/1997,12/31/2021
111,River West,1/10/2001,12/31/2025
112,Roosevelt/Cicero Industrial Corridor,2/5/1998,12/31/2022
113,Roosevelt/Clark,4/10/2019,12/31/2043
114,Roosevelt/Racine,11/4/1998,12/31/2034
115,Roosevelt/Union,5/12/1999,12/31/2023
116,Roseland/Michigan,1/16/2002,12/31/2026
