tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
24th/Michigan,2024,1999,2035,72,6192838,50292149,0,153861677,1944393,28525005,0.0,987285,68467.0,0,
26th/King Drive,2024,2006,2030,141,1030755,12985088,0,0,15445,7249112,0.0,0,11165.0,0,
35th/Halsted,2024,1997,2033,1,19634330,162037668,0,3243618,10907512,44853370,1919400.0,10796924,222568.0,0,
35th/State,2024,2004,2028,131,1968584,32518095,0,9500000,1878866,7079316,0.0,0,33460.0,0,
43rd/Cottage Grove,2024,1998,2034,55,5669820,64871256,0,0,2378076,22585510,0.0,0,63570.0,0,
47th/Ashland,2024,2002,2026,117,3812217,54838039,8666667,11097980,7456891,18428433,0.0,0,41986.0,0,
47th/Halsted,2024,2002,2026,121,4098894,61466103,0,3950064,3379099,17877473,8666667.0,0,45422.0,0,
47th/King Drive,2024,2002,2026,118,13152666,162507813,0,0,11382731,71029667,0.0,0,144663.0,0,
47th/State,2024,2004,2028,136,3147342,33025013,0,0,1648399,20701931,0.0,0,33549.0,0,
51st/Archer,2024,2000,2024,97,1734783,20084191,0,50979035,3453980,0,0.0,9414873,21199.0,0,
51st/Lake Park,2024,2012,2036,175,1296341,9082691,0,0,1210348,1636004,0.0,0,14369.0,0,
53rd Street,2024,2001,2025,105,8252099,64072124,0,0,97147,25169446,0.0,3936702,72896.0,0,
63rd/Ashland,2024,2006,2030,143,462049,12093677,0,5400000,245234,5324028,0.0,0,0,0,
63rd/Pulaski,2024,2000,2036,98,2844026,44238125,0,0,1521115,10709171,0.0,0,30752.0,0,
67th/Cicero,2024,2002,2026,124,496277,6167730,0,3284023,348597,1579256,0.0,0,0,0,
67th/Wentworth,2024,2011,2035,174,0,2467,1600000,2775000,82324,2484700,0.0,0,0,0,
71st/Stony Island,2024,1998,2034,60,4926779,70630169,0,67288397,681672,20424364,0.0,0,53424.0,0,
73rd/University,2024,2006,2030,145,52938,6401662,0,0,186431,1999771,0.0,0,0,0,
79th Street Corridor,2024,1998,2034,56,1445457,19673360,2500000,5500000,10171770,6995874,0.0,0,14922.0,0,
79th/Cicero,2024,2005,2029,140,581216,9048483,0,0,589995,1154142,0.0,0,0,0,
79th/Southwest Highway,2024,2001,2025,112,3532923,32104266,0,0,276010,13615976,2000000.0,0,33994.0,0,
79th/Vincennes,2024,2007,2031,155,235431,4574013,0,1000000,6150,3250658,500000.0,0,0.0,0.0,
83rd/Stewart,2024,2004,2028,133,1465649,16198916,0,0,632840,1666688,0.0,0,0,0,
87th/Cottage Grove,2024,2002,2026,127,2093730,39027274,0,1375000,35210,13037324,1600000.0,0,24138.0,0,
95th/Western,2024,1995,2031,9,2006607,24487003,0,2400000,164655,7307569,0.0,0,20463.0,0,
105th/Vincennes,2024,2001,2025,111,2162655,14144633,0,2320284,41816,10010135,0.0,0,23426.0,0,
107th/Halsted,2024,2014,2038,176,680312,5018999,0,1000000,20775,4713747,0.0,0,0.0,0.0,
111th/Kedzie,2024,1999,2035,73,1217573,14957958,0,0,1024372,3517438,0.0,190287,12973.0,0,
116th/Avenue O,2024,2018,2042,182,1714241,4546337,5088000,9600000,1432417,7895606,0.0,0,22751.0,0,
