tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
105th/Vincennes,2022,2001,2025,111,1383445,10222801,0,2320284,100389,5872394,0,0,16038,0,
107th/Halsted,2022,2014,2038,176,770768,3548263,0,1000000,373679,3687423,0,0,0,0,
111th/Kedzie,2022,1999,2023,73,983427,12391650,0,0,355542,2898399,0,0,12819,0,
116th/Avenue O,2022,2018,2042,182,699213,1326306,0,4512000,16293,1223371,0,0,0,0,
119th/Halsted,2022,2002,2026,114,829852,14151212,0,97500,145969,6169072,719405,0,11422,0,
119th/I-57,2022,2002,2026,125,2563110,39559644,0,950000,2028975,10109689,0,0,35196,0,
24th/Michigan,2022,1999,2023,72,4781377,37626161,0,153861677,5121230,24854577,0,0,118424,0,
26th/King Drive,2022,2006,2030,141,854812,11018781,0,0,17601,5031582,0,0,0,0,
35th/Halsted,2022,1997,2033,1,16370579,121207518,0,3243618,7217766,30350502,0,7398400,193759,0,
35th/State,2022,2004,2028,131,2250305,26732433,0,3500000,4971261,825033,0,0,22232,0,
35th/Wallace,2022,1999,2023,79,1772818,15730533,0,4500000,691179,14531144,0,0,19170,0,
43rd/Cottage Grove,2022,1998,2034,55,4660230,53661392,0,0,3675179,14564440,0,0,56969,0,
47th/Ashland,2022,2002,2026,117,3653301,46567234,0,2431313,3119421,10179184,0,0,41899,1525962,Amalgamated Bank
47th/Halsted,2022,2002,2026,121,3904991,53014553,0,3950064,556416,21411849,0,0,59066,0,
47th/King Drive,2022,2002,2026,118,11795872,135842936,0,0,1501854,56337809,0,0,170717,0,
47th/State,2022,2004,2028,136,2265446,27250339,0,0,1700662,16978930,0,0,28302,0,
51st/Archer,2022,2000,2024,97,1555434,16323590,164338,50183691,1375642,8203792,0,0,87537,879860,Amalgamated Bank
51st/Lake Park,2022,2012,2036,175,1230417,6567225,0,0,1371473,1456158,0,0,10678,0,
53rd Street,2022,2001,2025,105,6011914,49108566,0,0,3474368,14518135,0,0,81757,0,
63rd/Ashland,2022,2006,2030,143,490467,11220309,0,5400000,1728472,4523481,0,0,51600,0,
63rd/Pulaski,2022,2000,2024,98,2355207,38486655,0,0,545775,6505703,164338,0,28258,0,
67th/Cicero,2022,2002,2026,124,207648,5027021,0,3284023,394531,1075043,0,0,0,0,
67th/Wentworth,2022,2011,2035,174,1603,1603,0,1175000,20947,1004907,0,0,0,0,
71st/Stony Island,2022,1998,2034,60,4181586,61099187,2000000,67288397,2294097,13891204,0,0,110633,0,
73rd/University,2022,2006,2030,145,97081,6323551,0,0,248579,1973662,0,0,18950,0,
79th Street Corridor,2022,1998,2034,56,1387353,16816070,0,0,956996,8302255,0,0,14824,0,
79th/Cicero,2022,2005,2029,140,491104,7646639,0,0,604733,892152,0,0,0,0,
79th/Southwest Highway,2022,2001,2025,112,2037925,25633368,0,0,432437,11470418,0,0,25504,0,
79th/Vincennes,2022,2007,2031,155,284100,4162287,0,1000000,36154,4079693,0,0,0,0,
83rd/Stewart,2022,2004,2028,133,1120951,13244402,0,0,1135482,1671360,0,0,0,0,
87th/Cottage Grove,2022,2002,2026,127,1960805,35116385,0,1375000,347423,10331003,0,0,24996,0,
95th/Western,2022,1995,2031,9,1521994,20544054,0,2400000,1302408,3432061,0,0,31619,0,
Addison South,2022,2007,2031,150,7945626,54497573,0,0,1487070,14807609,0,6243200,104502,0,
Archer Courts,2022,1999,2022,67,481795,7302679,0,2235487,9780,0,0,2659934,0,0,
Archer/Central,2022,2000,2024,99,732634,11878372,0,240000,354223,3287424,0,0,0,0,
Archer/Western,2022,2009,2033,163,3028774,7996544,0,7970000,333283,8909938,0,0,33535,0,
Avalon Park/South Shore,2022,2002,2026,123,819737,10500581,0,0,1965902,1799335,0,0,10666,0,
Avondale,2022,2009,2033,167,365423,1528765,0,2900000,97950,1700632,0,0,0,0,
Belmont/Central,2022,2000,2024,81,5837971,67499786,0,938,888901,31866873,0,0,85560,0,
Belmont/Cicero,2022,2000,2024,82,1467931,22624688,0,0,448173,6830821,0,1131000,16551,0,
Bronzeville,2022,1998,2034,61,6718217,79413985,0,10400000,6039402,38252707,0,0,88891,0,
