tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
24thMichigan,2010,1999,2022,72,1333433,5400697,4310000,28380000,4548394,3508750,0,0,22351,0,
26thKing,2010,2006,2030,141,1018425,1259948,0,0,13929,1240434,0,0,10781,0,
35thHalsted,2010,1997,2021,1,4702898,25175131,0,1743618,801061,19386107,0,0,72520,0,
35thState,2010,2004,2028,131,1224717,3415684,0,0,370961,2719919,0,0,14476,0,
35thWallace,2010,1999,2023,79,636323,2629483,0,0,13450,2266157,0,0,10318,0,
40thState,2010,2004,2028,132,0,0,0,0,0,0,0,0,0,0,
41stKing,2010,1994,2017,2,167445,1879513,0,0,73931,723077,0,0,0,0,
43rdCottageGrove,2010,1998,2021,55,2748224,15285340,0,0,3248533,7066507,0,0,49255,0,
45thWestern,2010,2002,2026,120,74406,894440,0,0,5726,243273,0,0,0,0,
47thAshland,2010,2002,2026,117,2976421,15632711,1163175,1163175,4110076,31101735,0,0,49147,319983,"Amalgamated Bank, Fidelity, Jackson Securities Inc., Ramirez & Co. Inc., Shiff Hardin LLP"
47thHalsted,2010,2002,2026,121,3085337,15812547,0,0,2529005,11210430,1163175,0,51890,0,
47thKing,2010,2002,2026,118,7830248,38027490,0,0,2288678,32950255,352200,0,137358,0,
47thState,2010,2004,2028,136,1728338,7406966,0,0,33790,6790001,0,0,29982,0,
49thStLawrence,2010,1996,2020,4,411313,3163329,0,0,89236,1904910,0,0,0,0,
51stArcher,2010,2000,2024,97,776957,4660204,2460330,8151927,7300316,10123632,0,0,12280,1935811,"Amalgamated Bank, Jackson Securities Inc,, Ramirez & Co. Inc., Wells Fargo Bank"
53rd,2010,2001,2025,105,967252,5215836,0,0,627260,3702004,0,0,14076,0,
60thWestern,2010,1996,2019,5,183245,3848958,0,0,6108,3390990,0,0,0,0,
63rdAshland,2010,2006,2030,143,0,0,0,0,0,0,0,0,0,0,
63rdPulaski,2010,2000,2024,98,2804016,14552729,0,0,142120,8472916,1593937,0,41197,0,
67thCicero,2010,2002,2026,124,325050,1392886,0,0,259616,421396,0,0,0,0,
69thAshland,2010,2004,2028,138,518815,1804128,0,0,550561,732498,0,0,0,0,
72ndCicero,2010,1993,2016,6,102840,3419067,0,0,7881,2369962,0,0,0,0,
71stStonyIsland,2010,1998,2021,60,4033490,21391223,4186662,17279458,33133913,23858686,0,0,66549,4917866,Wells Fargo Bank
73rdKedzie,2010,1993,2016,7,0,562315,0,0,2778,427324,0,0,0,0,
73rdUniversity,2010,2006,2030,145,312221,2034636,0,0,15012,1858226,0,0,0,0,
79th,2010,1998,2021,56,998154,5989682,0,0,38974,4730982,0,0,16864,0,
79thCicero,2010,2005,2029,140,526411,976747,0,0,9390,958007,0,0,0,0,
79thSWHighway,2010,2001,2025,112,1741869,7360852,0,0,2638080,4667559,0,0,28360,0,
79thVincennes,2010,2007,2031,155,575421,1552986,0,0,12627,1362750,0,0,0,0,
83rdStewart,2010,2004,2028,133,414311,1049132,0,0,7975,944005,0,0,0,0,
87thCottageGrove,2010,2002,2026,127,2150683,12425715,0,0,243632,5677913,1485068,0,33498,0,
89thState,2010,1998,2021,49,365144,3153206,0,0,340653,418564,0,0,0,0,
95thStonyIsland,2010,1990,2014,8,957083,11201622,0,0,3004199,1830355,0,0,16697,0,
95thWestern,2010,1995,2018,9,921071,7935926,0,0,600288,4681487,0,0,15645,330408,Charter One Bank NA
105thVincennes,2010,2001,2025,111,321582,1210213,0,0,17286,1150733,0,0,0,0,
111thKedzie,2010,1999,2022,73,656446,3755728,0,0,913058,2092629,0,0,11449,0,
119thHalsted,2010,2002,2026,114,1054003,3948203,0,0,318885,3512960,0,0,14730,191608,Local Initiatives Support Corporation
119thI57,2010,2002,2026,125,1755486,5704141,0,0,1211584,3440293,0,0,30028,200750,Local Initiatives Support Corporation
126thTorrence,2010,1994,2017,10,714902,4940449,0,0,1271785,526198,0,0,0,0,
134thAvenueK,2010,2008,2032,159,2931,2931,0,0,384,2547,0,0,0,0,
AddisonNorth,2010,1997,2020,11,1561081,12643634,0,0,153257,10636632,0,0,26023,0,
AddisonSouth,2010,2007,2031,150,2451158,5413288,0,0,94361,5277811,0,0,0,0,
ArcherCentral,2010,2000,2024,99,937919,5316398,0,240000,626125,2152639,0,0,15844,0,
ArcherCourts,2010,1999,2023,67,266473,2475180,0,2235487,133026,1440085,0,0,0,0,
ArcherWestern,2010,2009,2033,163,492203,492203,0,0,7815,484423,0,0,0,0,
ArmitagePulaski,2010,2007,2031,151,383739,892934,0,0,70272,813486,0,0,0,0,
AustinCommercial,2010,2007,2031,156,1538808,3714704,0,0,321571,3339338,0,0,24269,0,
AvalonParkSouthShore,2010,2002,2026,123,872062,4288859,0,0,18796,2576252,452181,0,13540,0,
Avondale,2010,2009,2033,167,257032,257032,1000000,4000000,3791,1253869,0,0,0,0,
BelmontCentral,2010,2000,2024,81,3750669,20496055,0,0,1185022,11917240,247491,0,55510,0,
BelmontCicero,2010,2000,2024,82,1545924,8689871,0,0,2956285,2580550,0,0,23159,0,
Bronzeville,2010,1998,2022,61,3670225,27698974,0,0,3704066,21474341,0,0,65860,0,
BrynMawrBroadway,2010,1996,2019,13,2100457,11595703,0,4684947,714494,38054823,700000,0,31313,0,
CalumetCermak,2010,1998,2021,59,6890603,77003178,0,0,97862,73309502,0,0,91926,0,
CalumetRiver,2010,2010,2034,168,0,0,0,0,0,0,0,0,0,0,
CanalCongress,2010,1998,2022,63,17342245,118403277,0,1091731,8382564,53766168,10000000,0,290984,0,
CentralWest,2010,2000,2024,86,13356634,78892778,8504376,34354883,12672408,50204980,0,0,230271,4876688,Wells Fargo Bank
ChathamRidge,2010,1986,2010,15,926986,25378746,0,0,6886227,8231736,0,0,16216,2104497,Bank of New York
ChicagoCentralPark,2010,2002,2026,115,6114888,31467459,9393305,29313096,21250353,75197329,0,0,103247,8221306,"Charity & Associates, Fidelity, First Albany Corporation, Fitch Ratings, Guzman & Co., JAmalgamated Bank, Jackson Securities Inc., Johnson Research Group, Moody's Investor Service, Ramirez & Co. Inc., S.B. Friedman & Co., Shiff Hardin LLP, Wells Fargo Bank"
ChicagoKingsbury,2010,2000,2024,94,14780288,70876709,0,0,9430077,32268163,0,0,250557,0,
ChicagoLakeside,2010,2010,2034,170,0,0,0,0,0,0,0,0,0,0,
ChinatownBasin,2010,1986,2010,16,2172889,29030960,0,0,482521,14659269,0,0,42782,0,
ClarkMontrose,2010,1999,2022,70,2491644,13058926,0,2000000,4110112,8001156,0,0,37770,0,
ClarkRidge,2010,1999,2022,74,2445465,12812791,0,0,1554398,7786241,0,0,39354,0,
CiceroArcher,2010,2000,2024,96,904751,5932137,0,0,180724,5739635,0,0,13500,0,
Commercial,2010,2002,2026,128,1728792,10115876,0,0,134095,9727811,0,0,28910,0,
DevonSheridan,2010,2004,2028,134,631656,2857427,0,0,238315,1536708,0,0,0,0,
DevonWestern,2010,1999,2023,76,3315291,18385126,0,0,1077911,9948576,1836601,0,51493,0,
DiverseyNarragansett,2010,2003,2027,129,2149722,10723219,0,0,3473440,2913475,0,0,23831,0,
DivisionHoman,2010,2001,2025,107,1380942,7014768,0,0,252956,5210637,0,0,23241,0,
DivisionHooker,2010,1996,2019,17,169647,3030597,0,0,4929,1728094,0,0,0,0,
DivisionNorthBranch,2010,1991,2014,18,241544,3786401,0,0,306895,3244582,0,0,0,293625,U.S. Bank
Drexel,2010,2002,2026,122,296192,1245287,0,0,433578,240313,0,0,0,0,
EastmanNorthBranch,2010,1993,2016,19,169109,2244820,0,0,5838,1469856,0,0,0,0,
EdgewaterAshland,2010,2003,2027,130,0,4190855,0,0,10524,3826110,0,0,0,0,
ElstonArmstrong,2010,2007,2031,153,436010,1349958,0,0,83580,1251442,0,0,0,0,
EnglewoodMall,2010,1989,2012,21,536673,6935478,0,0,1115696,5429628,0,0,12489,0,
EnglewoodNeighborhood,2010,2001,2025,106,0,27566471,0,0,1679847,3756727,0,0,78386,0,
Ewing,2010,2010,2034,169,0,0,1773456,1773456,1126410,647046,0,0,0,0,
FullertonMilwaukee,2010,2000,2024,87,7079794,37543056,0,52044,9899648,40622758,1000000,0,108914,1027744,"Amalgamated Bank, Fidelity, First Albany Corporation, Jackson Securities Inc., Johnson Research Group, Ramirez & Co. Inc., Shiff Hardin LLP, Wells Fargo Bank"
GalewoodArmitage,2010,1999,2022,71,2689968,14403754,536558,2410994,25053647,19828677,0,0,41426,966019,"Amalgamated Bank, Fidelity, First Albany Corporation, Guzman & Co., Jackson Securities Inc., Johnson Research Group, Ramirez & Co. Inc., Shiff Hardin LLP, Wells Fargo Bank"
GooseIsland,2010,1996,2019,23,3735089,29032668,0,0,3786380,10171100,0,0,49109,1867729,Cole Taylor Bank
GreaterSouthwestEast,2010,1999,2023,66,900171,5805695,0,0,1279566,2025144,0,0,13679,0,
GreaterSouthwestWest,2010,2000,2024,92,835012,10445480,0,0,39445,9737142,0,0,18849,0,
Harlem,2010,2007,2031,148,185879,805835,0,0,94188,701057,0,0,0,0,
HarrisonCentral,2010,2006,2030,144,762732,2493936,0,950000,1327190,1255237,0,0,13177,194800,Local Initiatives Support Corporation
HollywoodSheridan,2010,2007,2031,157,0,1856507,700000,4700000,225383,2323240,0,0,20280,0,
HomanArthington,2010,1998,2021,24,550696,5276914,0,0,248466,4469430,0,0,0,0,
HomanGrandTrunk,2010,1993,2016,25,246543,2914901,0,0,7107,2528828,0,0,0,0,
HowardPaulina,2010,1988,2011,26,1320911,18600593,0,0,7323744,3481767,0,0,20270,0,
HumboldtPark,2010,2001,2025,108,2880648,15876575,0,0,397338,9262754,0,0,45347,0,
IrvingParkElston,2010,2009,2033,165,515581,515581,0,0,7618,507998,0,0,0,0,
IrvingCicero,2010,1996,2020,27,628309,6321835,62947,791443,729178,677920,0,0,0,630900,U.S. Bank National Assiociation
JeffersonPark,2010,1998,2021,57,1010992,6098551,0,853000,244778,3567009,0,0,15403,0,
JeffersonRoosevelt,2010,2000,2024,101,4659665,21096036,0,12500000,355757,16078011,0,0,76685,0,
KennedyKimball,2010,2008,2032,160,380123,389480,0,0,5413,383941,0,0,0,0,
Kinzie,2010,1998,2021,52,17458853,124608186,0,0,14008782,50393394,2974054,0,280419,0,
Kostner,2010,2008,2032,162,0,4337,0,0,354,2398,0,0,0,0,
LakeCalumet,2010,2000,2024,103,3311509,25572301,0,0,3724760,14402458,1773456,0,57621,0,
Lakefront,2010,2002,2026,119,219270,944460,0,0,55932,519491,0,0,0,0,
LakesideClarendon,2010,2004,2028,137,90034,308609,0,0,4295,290530,0,0,0,0,
LaSalleCentral,2010,2006,2030,147,19627645,75212371,0,0,3771270,47454250,20000000,0,333650,0,
LawrenceBroadway,2010,2001,2025,109,3616283,19588557,0,0,1300473,7533292,0,0,51834,0,
LawrenceKedzie,2010,2000,2024,88,7490494,46628829,0,0,3764506,18545129,0,0,121003,2483462,Wells Fargo Bank
LawrencePulaski,2010,2002,2026,116,1794136,7989390,0,2900000,239641,7519872,0,0,27749,0,
LincolnAvenue,2010,1999,2023,77,2802299,19428581,651676,5931449,20167772,14571633,0,0,42472,2020186,Wells Fargo Bank
LincolnBelmontAshland,2010,1994,2017,28,956277,13665900,0,0,1165816,1605353,0,0,0,1156661,Cole Taylor Bank
LittleVillage,2010,2007,2031,152,368810,1907718,0,0,11865,1779165,0,0,0,0,
LittleVillageEast,2010,2009,2033,164,171865,171865,0,0,3222,168656,0,0,0,0,
MaddenWells,2010,2002,2026,126,865706,2759120,0,1051820,582788,1303284,0,0,12074,0,
MadisonAustin,2010,1999,2023,75,2460256,12301127,2791560,15735421,2844953,8490168,0,0,37739,2736217,Wells Fargo Bank
MichiganCermak,2010,1989,2012,29,1295800,6243159,0,810000,486238,2633236,195000,0,18651,0,
Midway,2010,2000,2024,89,1314488,9937935,0,0,45317,4092245,866393,0,21147,0,
Midwest,2010,2000,2024,95,14210154,80521965,0,983720,6460307,41898970,5514401,0,235338,3086154,"Harris Trust & Savings Bank, Wells Fargo Bank"
Montclare,2010,2000,2024,102,408985,2534901,0,0,250861,763625,0,0,0,0,
MontroseClarendon,2010,2010,2034,173,0,0,0,0,0,0,0,0,0,0,
NearNorth,2010,1997,2020,30,15362269,111875591,0,1046644,12825881,51317215,0,0,266435,5620618,Cole Taylor Bank
NearSouth,2010,1990,2014,31,58135468,356809047,0,3683333,18827780,162621625,0,0,955417,9550515,Cole Taylor Bank
NearWest,2010,1989,2013,32,13372771,96681613,0,0,1838994,54282776,8504376,0,196001,1365300,Cole Taylor Bank
NorthBranchNorth,2010,1997,2021,33,4078705,32174378,0,180604,1542782,27490793,0,0,56383,0,
NorthBranchSouth,2010,1998,2021,34,5305853,41584723,0,2500000,4073326,28914730,0,0,84688,0,
NorthCicero,2010,1997,2020,35,1158853,9381503,0,0,1128845,1576835,0,0,16815,0,
Northwest,2010,1998,2021,64,6529367,41653669,0,0,1575177,18311486,3205336,0,108955,0,
OhioWabash,2010,2000,2024,100,1214080,9818799,0,0,2167377,592318,0,0,0,0,
NorthPullman,2010,2009,2033,166,290943,290943,0,0,3908,3287052,0,0,0,0,
OgdenPulaski,2010,2008,2032,161,2354679,3923452,0,0,41934,3860030,0,0,37856,0,
PershingKing,2010,2007,2031,154,103901,334181,352200,1852200,75300,3831188,0,0,0,0,
PetersonCicero,2010,2000,2024,90,459442,1517871,0,0,140085,1032528,0,0,0,0,
PetersonPulaski,2010,2000,2024,91,996289,7280257,0,0,670051,5160976,0,0,15058,0,
Pilsen,2010,1998,2022,53,9147255,69904726,0,0,10483197,50598633,0,0,163426,4954826,Cole Taylor Bank
PortagePark,2010,1998,2021,58,2966679,19682938,0,0,826075,15351560,62947,0,47995,0,
PrattRidge,2010,2004,2028,135,370944,945313,0,0,9360,925348,0,0,0,0,
Pulaski,2010,1999,2022,69,3227671,22556541,0,0,185897,11438019,780141,0,50454,0,
Ravenswood,2010,2005,2029,139,1143585,3263425,0,500000,190133,3109977,0,0,15446,0,
RandolphWells,2010,2010,2034,172,0,0,20000000,20000000,20000000,2105,0,0,0,0,
ReadDunning,2010,1991,2015,36,2638124,30759115,0,1811000,1766661,10871369,0,0,42110,896788,Cole Taylor Bank
RiverSouth,2010,1997,2020,37,11026730,78384116,10000000,47258006,9851485,34544557,4115000,0,171513,0,
RiverWest,2010,2001,2025,104,11330333,56627718,0,0,6525709,28286360,0,0,165878,0,
RiverWest,2010,2001,2025,104,11330333,56627718,0,0,6525709,28286360,0,0,165878,0,
RooseveltCanal,2010,1997,2021,39,931342,13273864,0,0,2092673,1165439,0,0,14534,0,
RooseveltCicero,2010,1998,2021,38,2538718,15745312,0,0,293854,11969384,0,0,36910,0,
RooseveltHoman,2010,1990,2013,40,1246757,9390363,0,0,300819,7389750,0,0,16537,0,
RooseveltRacine,2010,1998,2022,62,1753960,6302869,0,0,903664,2967535,0,0,26416,0,
RooseveltUnion,2010,1999,2022,68,3943105,23760053,0,0,7962741,5260916,0,0,71819,0,
RoselandMichigan,2010,2002,2026,113,945847,3544840,0,0,131307,2751885,0,0,14260,0,
SanitaryDrainageShipCana,2010,1991,2014,42,771521,11625720,0,0,1132302,1876171,0,0,12717,747000,Cole Taylor Bank
SouthChicago,2010,2000,2024,93,1048714,6702799,0,0,21135,4252143,0,0,17747,0,
SouthWorks,2010,1999,2023,78,100833,1006098,0,0,4878,977655,0,0,0,0,
StevensonBrighton,2010,2007,2031,149,969073,3028168,0,0,223777,2429367,0,0,16598,0,
Stockyards,2010,1989,2012,44,1887019,37938565,0,0,1801904,5111876,0,0,30282,1741938,Cole Taylor Bank
StockyardsAnnex,2010,1996,2020,43,1657286,16564372,0,525000,293043,14346998,0,0,25009,0,
StockyardsSEQuadrant,2010,1992,2015,45,1430044,26892726,0,3675608,716667,9802759,0,0,29335,659499,Cole Taylor Bank
StonyIslandBurnside,2010,1998,2021,54,2583580,17937036,0,0,948497,7980090,1101912,0,42007,0,
TouhyWestern,2010,2006,2030,146,790543,2233531,1836601,3933459,13486512,9745952,0,0,13559,726870,"Amalgamated Bank, Fidelity, First Albany Corporation, Jackson Securities Inc., Ramirez & Co. Inc., Shiff Hardin LLP, Wells Fargo Bank"
WeedFremont,2010,2008,2032,158,131923,160192,0,0,2911,157089,0,0,0,0,
WestGrand,2010,1996,2019,46,22190,1035922,0,0,4021,3104851,0,0,0,0,
WestIrvingPark,2010,2000,2024,83,1268840,7643095,0,2000000,818223,4791180,0,0,19257,0,
WestPullman,2010,1998,2021,50,745,227130,0,0,63969,91951,0,0,0,0,
WestRidgePeterson,2010,1986,2010,47,450925,5024973,0,0,982379,721280,0,0,0,0,
WesternNorth,2010,2000,2024,84,5461945,28873361,0,0,1125562,15440620,651676,0,87605,0,
WesternSouth,2010,2000,2030,85,6408955,36769812,0,0,2386028,23946588,0,0,100949,0,
WesternRockIsland,2010,2006,2024,142,2290138,6007047,0,0,229887,5697111,0,0,37797,0,
WestWoodlawn,2010,2010,2034,171,0,0,0,0,0,0,0,0,0,0,
WilsonYard,2010,2001,2025,110,6499828,40711073,0,0,10742714,16572992,0,0,103203,0,
Woodlawn,2010,1999,2022,65,3024154,18107853,0,0,73515,11241257,1147501,0,0,0,
WesternOgden,2010,1998,2021,48,7462525,39014986,0,0,3009780,23364142,0,0,79709,0,
