tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
Foster/California,2025,2014,2038,177,13292,555037,0,7694830,253741,1238883,0.0,0,0,0,
Foster/Edens,2025,2018,2042,181,2662183,11930414,1250000,1250000,2383520,5403969,0.0,0,35152.0,0,
Fullerton/Milwaukee,2025,2000,2027,87,17636760,210210527,0,52044,5621692,79029730,0.0,150962,333375.0,0,
Galewood/Armitage Industrial,2025,1999,2035,71,5593781,76682965,0,26197449,397120,16800154,4500000.0,2779650,92016.0,0,
Goose Island,2025,1996,2032,23,7325826,120119990,0,31000000,1275581,42730182,0.0,12335155,141704.0,0,
Greater Southwest Industrial (East),2025,1999,2035,66,1203257,21904110,0,0,39176,5576070,0.0,0,24076.0,0,
Harrison/Central,2025,2006,2030,144,2173716,12771421,0,7925254,1288342,5257360,0.0,0,29323.0,0,
Hollywood/Sheridan,2025,2007,2031,157,6278674,23157149,0,78611382,650933,20456571,0.0,0,51159.0,0,
Homan/Arthington,2025,1998,2034,24,1142255,15205819,0,1062798,45862,6907084,0.0,0,10723.0,0,
Humboldt Park Commercial,2025,2001,2025,108,6805543,82444146,0,0,7531512,0,0.0,33934559,113384.0,0,
Kennedy/Kimball,2025,2008,2032,160,2835739,14054440,0,0,1707291,9565417,0.0,2363036,31911.0,0,
Kinzie Industrial Corridor,2025,1998,2034,52,114199695,1018481130,0,0,21165538,242157245,18403621.0,133606374,2403180.0,0,
Lake Calumet Area Industrial,2025,2000,2036,103,9794143,85734232,0,4284000,3274882,28609178,0.0,1809526,97679.0,0,
Lakefront,2025,2002,2026,119,367911,6707617,0,0,475044,2139849,0.0,0,0,0,
LaSalle Central,2025,2006,2030,147,113259379,1319729471,0,9232000,22027851,400438004,0.0,74028343,3120221.62,0,
Lawrence/Broadway,2025,2001,2037,109,6790948,92594105,0,95185504,10750329,42891478,0.0,0,129606.0,0,
Lawrence/Kedzie,2025,2000,2036,88,12782945,173902860,0,3500000,7618915,44553921,0.0,1316163,201951.0,0,
Lawrence/Pulaski,2025,2002,2026,116,3006483,35916273,0,2900000,627375,18006730,1250000.0,0,35463.0,0,
Lincoln Avenue,2025,1999,2035,77,3715298,69588702,0,22342064,4787699,8929695,0.0,0,74858.0,0,
Little Village Industrial Corridor,2025,2007,2031,152,5576899,19376006,0,0,158604,15229464,0.0,1497605,71240.0,0,
Little Village East,2025,2009,2033,164,1327862,4049796,0,1280000,19883,4462856,0.0,0,0,0,
Madden/Wells,2025,2002,2038,126,1559045,23334356,0,1051820,1848214,8691593,0.0,0,25586.0,0,
Madison/Austin Corridor,2025,1999,2035,75,4341785,53802277,10000000,76727897,4830383,33369338,0.0,0,76981.0,0,
Michigan/Cermak,2025,1989,2025,29,3645069,42521878,0,13810000,106136,0,0.0,14851756,78276.0,0,
Midwest,2025,2000,2036,95,26144459,331247028,0,17354510,8651332,105105553,6300736.0,0,348862.0,0,
Montrose/Clarendon,2025,2010,2034,173,1709349,10838721,8300000,8300000,12695436,3621890,0.0,0,23508.0,0,
Near North,2025,1997,2033,30,35752076,556101889,0,3546644,18835325,228874298,0.0,15268342,663746.0,0,
Northwest Industrial Corridor,2025,1998,2034,64,17739154,194518743,0,521583,3742393,71478136,15800000.0,17103245,277422.0,0,
North Pullman,2025,2009,2033,166,3784703,24750624,1500000,23263957,5773211,8189715,0.0,0,39247.0,0,
Ogden/Pulaski,2025,2008,2032,161,6551250,16593002,5100000,8585500,2937546,13883346,0.0,0,0,0,
Pilsen Industrial Corridor,2025,1998,2034,53,35250599,374046873,0,0,11255462,174477226,0.0,1342852,573767.0,0,
Pratt/Ridge Industrial Park Conservation Area,2025,2004,2028,135,545775,7989816,0,0,18361,7611754,0.0,0,12236.0,0,
