,Name of Redevelopment Project Area,Date Designated MM/DD/YYYY,Date Terminated MM/DD/YYYY
124,Stockyards Southeast Quadrant Industrial,2/26/1992,12/31/2028
125,Stony Island Commercial/Burnside Industrial,6/10/1998,12/31/2034
126,Touhy/Western,9/13/2006,12/31/2030
127,Washington Park,10/8/2014,12/31/2038
128,West Irving Park,1/12/2000,12/31/2024
129,West Woodlawn,5/12/2010,12/31/2034
130,Western Avenue North,1/12/2000,12/31/2024
131,Western Avenue South,1/12/2000,12/31/2024
132,Western/Ogden,2/5/1998,12/31/2022
133,Western/Rock Island,2/8/2006,12/31/2030
134,Wilson Yard,6/27/2001,12/31/2025
135,Woodlawn,1/20/1999,12/31/2023
