tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
24th/Michigan,2023,1999,2035,72,6473150,44099311,0,153861677,7610813,24886731,0,0,63053,0,
26th/King Drive,2023,2006,2030,141,935552,11954333,0,0,14224,6147581,0,0,10592,0,
35th/Halsted,2023,1997,2033,1,21195820,142403338,0,3243618,671862,47625965,0,3943000,244741,0,
35th/State,2023,2004,2028,131,3817078,30549511,6000000,9500000,3747051,6862604,0,0,32476,0,
35th/Wallace,2023,1999,2023,79,1838729,17569262,0,4500000,3125036,0,6000000,8041725,22972,0,
43rd/Cottage Grove,2023,1998,2034,55,5540044,59201436,0,0,1522837,19050778,0,0,63021,0,
47th/Ashland,2023,2002,2026,117,4458588,51025822,0,2431313,1711795,13383701,0,0,44421,533810,Amalgamated Bank
47th/Halsted,2023,2002,2026,121,4352656,57367209,0,3950064,1771217,24864220,0,0,42257,0,
47th/King Drive,2023,2002,2026,118,13512211,149355147,0,0,4042526,67980226,0,0,148826,0,
47th/State,2023,2004,2028,136,2627332,29877671,0,0,1452458,18899003,0,0,26485,0,
51st/Archer,2023,2000,2024,97,2025818,18349408,795344,50979035,386433,10942353,0,0,19049,191191,Amalgamated Bank
51st/Lake Park,2023,2012,2036,175,1219125,7786350,0,0,1188256,1522100,0,0,15452,0,
53rd Street,2023,2001,2025,105,6711459,55820025,0,0,1080162,20621753,0,0,71510,0,
63rd/Ashland,2023,2006,2030,143,411319,11631628,0,5400000,121765,5019463,0,0,0,0,
63rd/Pulaski,2023,2000,2024,98,2907444,41394099,0,0,50545,9239627,357566,0,27981,0,
67th/Cicero,2023,2002,2026,124,644432,5671453,0,3284023,349490,1412280,0,0,0,0,
67th/Wentworth,2023,2011,2035,174,864,2467,0,1175000,31496,1020460,0,0,0,0,
71st/Stony Island,2023,1998,2034,60,4604203,65703390,0,67288397,2932580,16100192,0,0,48027,0,
73rd/University,2023,2006,2030,145,25173,6348724,0,0,14859,2086132,0,0,0,0,
79th Street Corridor,2023,1998,2034,56,1411833,18227903,3000000,3000000,242519,12814633,0,0,16740,0,
79th/Cicero,2023,2005,2029,140,820628,8467267,0,0,588129,1150898,0,0,0,0,
79th/Southwest Highway,2023,2001,2025,112,2937975,28571343,0,0,774361,12111957,2000000,0,28506,0,
