,Name of Redevelopment Project Area,Date Designated,Date Terminated
123,Roosevelt/Cicero Industrial Corridor,2/5/1998,2/5/2021
124,Roosevelt/Racine,11/4/1998,12/31/2034
125,Roosevelt/Union,5/12/1999,5/12/2022
126,Roseland/Michigan,1/16/2002,12/31/2026
127,Sanitary and Ship Canal,7/24/1991,12/31/2027
128,South Chicago,4/12/2000,12/31/2024
129,South Works Industrial,11/3/1999,12/31/2023
130,Stevenson Brighton,4/11/2007,12/31/2031
131,Stockyards Annex,12/11/1996,12/31/2020
132,Stockyards Southeast Quadrant Industrial,2/26/1992,12/31/2028
133,Stony Island Commercial/Burnside Industrial,6/10/1998,12/31/2034
134,Touhy/Western,9/13/2006,12/31/2030
135,Washington Park,10/8/2014,12/31/2038
136,Weed/Fremont,1/9/2008,12/31/2032
137,West Irving Park,1/12/2000,12/31/2024
138,West Woodlawn,5/12/2010,12/31/2034
139,Western Avenue North,1/12/2000,12/31/2024
140,Western Avenue South,1/12/2000,12/31/2024
141,Western/Ogden,2/5/1998,2/5/2021
142,Western/Rock Island,2/8/2006,12/31/2030
143,Wilson Yard,6/27/2001,12/31/2025
144,Woodlawn,1/20/1999,1/20/2022
