tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
Division/Homan,2017,2001,2025,107,1186368,15119086,0,0,2067488,5704313,0,68100,19875,0,
Drexel,2017,2002,2026,122,358214,3647847,0,0,0,497602,0,500000,0,0,
Edgewater/Ashland ,2017,2003,2027,130,1151739,6771432,0,0,21027,3982261,0,0,17934,0,
Elston/Armstrong,2017,2007,2031,153,387616,3148486,0,0,202681,971841,0,17000,0,0,
Englewood Mall,2017,1989,2025,21,339504,9473418,45883,7545883,83426,3066382,0,0,0,0,
Englewood Neighborhood,2017,2001,2025,106,3916434,57064353,0,0,1165837,21738931,45883,365100,67440,0,67440
Ewing Avenue,2017,2010,2034,169,211794,1513340,0,6508056,1413826,256994,0,0,0,0,
Foster/Californina,2017,2014,2038,177,24229,24229,926666,4911496,937193,23200,0,0,0,0,
Fullerton/Milwaukee,2017,2000,2024,87,7060952,83621300,0,52044,9973789,14718843,0,0,124261,8628885,"Zions Bank, Amalgamated Bank  "
Galewood/Armitage,2017,1999,2023,71,2966684,34093372,2059692,18137755,8252127,12629137,1731,0,47196,7314933.58,"Zions Bank, Amalgamated Bank  "
Goose Island,2017,1996,2019,23,4277221,58207262,0,10000000,3458079,15312845,0,307100,84357,2473790,Amalgamated Bank
Greater Southwest East,2017,1999,2023,66,724311,10842867,0,0,95365,2966503,0,77000,0,0,
Greater Southwest West,2017,2000,2024,92,152691,12368371,0,0,55525,3924386,0,134000,0,0,
Harlem,2017,2007,2031,148,-706,971268,0,0,14216,418731,0,0,0,0,
Harrison/Central,2017,2006,2030,144,319077,4343689,576000,7348645,295716,1266286,0,0,0,0,
Hollywood/Sheridan ,2017,2007,2031,157,11590,2544328,575800,10924448,496384,1118591,0,0,0,0,
Homan/Arthington,2017,1998,2021,24,599352,8780978,0,1062798,12047,3534767,0,32700,0,0,
Humboldt Park,2017,2001,2025,108,3416063,36131589,0,0,966231,11009827,0,198600,57795,0,
Irving Park/Elston,2017,2009,2033,165,-1864,935088,0,0,2588,458821,0,0,0,0,
Irving/Cicero,2017,1996,2020,27,593419,11132599,0,1291443,140821,1684782,0,1000000,0,0,
Jefferson Park,2017,1998,2021,57,946829,11739661,,853000,312314,5509967,,45900,15457,,
Jefferson/Roosevelt ,2017,2000,2024,101,5904320,60736261,0,12500000,996411,6589306,0,11000000,113031,0,
Kennedy/Kimball,2017,2008,2032,160,7671,964883,0,0,3813,390884,0,0,0,0,
Kinzie,2017,1998,2022,52,30108683,276662467,0,0,7531743,97311310,3910826,0,547449,0,
Lake Calumet,2017,2000,2024,103,2309151,40168272,34000,4284000,673077,9867998,400000,0,47430,0,
Lakefront,2017,2002,2026,119,390025,3122825,0,0,248067,1021128,0,0,0,0,
LaSalle/Central ,2017,2006,2030,147,35644502,204458429,0,8600000,26047388,49982793,0,15000000,664727.48,0,
Lawrence/Broadway,2017,2001,2025,109,3714352,42261717,0,0,2516451,11091208,575800,5000000,62657,0,
Lawrence/Kedzie,2017,2000,2024,88,6490963,91116205,0,2500000,13402130,9118002,0,0,108168,3889041.67,Zions Banks
Lawrence/Pulaski,2017,2002,2026,116,1212211,17054567,0,2900000,1900169,5507389,0,77300,21370,0,
Lincoln Avenue ,2017,1999,2023,77,2500198,37986940,831349,11842064,3503022,6616537,2090000,0,48866,0,
