tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
DiverseyChicagoRiver,2016,2016,2040,179,0,0,0,0,0,0,0,0,0,0,
DiverseyNarragansett,2016,2003,2021,129,1959922,22991641,0,0,469365,3944901,0,0,37355,0,
DivisionHoman,2016,2001,2025,107,1040259,13932718,0,0,24461,6550637,2500000,0,19884,0,
Drexel,2016,2002,2026,122,365092,3289633,0,0,0,631583,0,0,0,0,
EdgewaterAshland,2016,2003,2027,130,501599,5619693,0,0,12589,2818157,0,0,0,0,
ElstonArmstrong,2016,2007,2031,153,283371,2760870,0,0,366440,790274,0,0,0,0,
EnglewoodMall,2016,1989,2025,21,614052,9133914,0,7500000,23606,2729170,0,0,0,0,
EnglewoodNeighborhood,2016,2001,2025,106,4604321,53147919,0,0,201925,19123542,0,0,87286,0,
Ewing,2016,2010,2034,169,303122,1301546,1700000,6508056,2212463,1457870,0,0,0,0,
FosterCalifornia,2016,2014,2038,177,0,0,3064830,3984830,3061830,9319,0,0,0,0,
FullertonMilwaukee,2016,2000,2024,87,7414569,76560348,0,52044,5137347,17280319,0,0,130211,3256554,"Amalgamated Bank, Wells Fargo Bank, Zions Bank"
GalewoodArmitage,2016,1999,2023,71,2508206,31126688,2631737,16078063,9214856,15457229,0,0,58071,3926603,"Amalgamated Bank, Wells Fargo Bank, Zions Bank"
GooseIsland,2016,1996,2019,23,5605699,53930041,0,10000000,2979097,14625572,0,0,91856,2161243,Amalgamated Bank
GreaterSouthwestEast,2016,1999,2023,66,951543,10118556,0,0,983346,2376519,0,0,15085,0,
GreaterSouthwestWest,2016,2000,2024,92,142318,12215680,0,0,261567,3902299,0,296000,0,0,
Harlem,2016,2007,2031,148,-3086,971974,0,0,5593,426844,0,0,0,0,
HarrisonCentral,2016,2006,2030,144,137976,4024612,1991523,6772645,2270515,659003,0,0,0,0,
HollywoodSheridan,2016,2007,2031,157,11068,2532738,575824,10348648,1549857,1001258,0,0,0,0,
HomanArthington,2016,1998,2021,24,500118,8181626,0,1062798,3608163,2926045,0,0,0,0,
HumboldtPark,2016,2001,2025,108,3194289,32715526,0,0,1467329,8647594,500000,0,60238,0,
IrvingCicero,2016,1996,2020,27,941167,10539180,0,1291443,121756,2203151,0,0,0,0,
IrvingParkElston,2016,2009,2033,165,-496,936952,0,0,2589,455713,0,0,0,0,
JeffersonPark,2016,1998,2021,57,747548,10792832,0,853000,671750,4851615,0,0,13482,0,
JeffersonRoosevelt,2016,2000,2024,101,8239523,54831941,0,12500000,1603298,12468850,0,12000000,141611,0,
KennedyKimball,2016,2008,2032,160,-861,957212,0,0,15629,380844,0,0,0,0,
Kinzie,2016,1998,2022,52,28278344,246553784,0,0,9533086,77619700,5847930,0,527800,0,
LakeCalumet,2016,2000,2024,103,2731279,37859121,4250000,4250000,497197,8454990,2250000,0,45990,0,
Lakefront,2016,2002,2026,119,385964,2732800,0,0,259030,867905,0,0,0,0,
LaSalleCentral,2016,2006,2030,147,31744181,168813927,0,8600000,23997354,54433791,0,0,555660,0,
