tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
24thMichigan,2013,1999,2022,72,1075031,8964796,43810000,80810000,2521259,47636376,0,0,19300,0,
26thKing,2013,2006,2030,141,607202,3612772,0,0,830190,844499,0,0,11695,0,
35thHalsted,2013,1997,2021,1,4350228,40585373,0,1743618,6428250,20328678,0,1384000,78254,0,
35thState,2013,2004,2028,131,1348284,7629669,0,0,919304,2616872,0,0,27373,0,
35thWallace,2013,1999,2023,79,651397,4909704,0,0,43786,4171495,0,0,11635,0,
40thState,2013,2004,2028,132,0,0,0,0,0,0,0,0,0,0,
41stKing,2013,1994,2018,2,156175,2421920,0,0,134929,929691,0,0,0,0,
43rdCottageGrove,2013,1998,2022,55,2168701,23204109,0,0,50330,13231650,0,0,0,0,
45thWestern,2013,2002,2026,120,61130,1121364,0,0,13866,451683,0,0,0,0,
47thAshland,2013,2002,2026,117,1989315,23173405,218729,1819333,4487363,18211472,0,0,35741,1601402,Wells Fargo Bank
47thHalsted,2013,2002,2026,121,2331137,24965941,0,3950064,2608883,14223927,218729,0,45050,0,
47thKing,2013,2002,2026,118,5761473,59883100,0,0,1545474,32716899,170354,0,116834,0,
47thState,2013,2004,2028,136,1123408,12032392,0,0,134496,7623132,0,0,0,0,
49thStLawrence,2013,1996,2020,4,379657,4535444,0,0,77982,2658377,0,0,0,0,
51stArcher,2013,2000,2024,97,467945,6510901,2695228,18065276,7140015,9070431,0,0,0,2829216,Wells Fargo Bank
51stLakePark,2013,2012,2036,175,0,0,0,0,0,0,0,0,0,0,
53rd,2013,2001,2025,105,419873,7150609,0,0,1365245,1644208,0,0,0,0,
60thWestern,2013,1996,2019,5,350082,4772983,0,0,7035,3480258,400000,0,0,0,
63rdAshland,2013,2006,2030,143,784829,3773712,400000,400000,823896,3245119,0,0,16007,0,
63rdPulaski,2013,2000,2024,98,1457197,21419459,0,0,446568,5704684,1678594,0,29038,0,
67thCicero,2013,2002,2026,124,407606,2454468,350000,350000,335611,876605,0,0,0,0,
67thWentworth,2013,2011,2035,174,0,0,0,0,0,0,0,0,0,0,
69thAshland,2013,2004,2028,138,456804,3361400,0,0,890187,859235,0,0,0,0,
71stStonyIsland,2013,1998,2021,60,2790021,31955398,4914483,30830085,6284764,18537978,0,0,0,0,
73rdUniversity,2013,2006,2030,145,117149,3345394,0,0,6766,2912259,0,0,0,0,
79th,2013,1998,2021,56,590985,8576938,0,0,107922,6045634,0,0,11329,0,
79thCicero,2013,2005,2029,140,375729,2541033,0,0,963277,136036,0,0,0,0,
79thSWHighway,2013,2001,2025,112,1143182,12112104,0,0,172657,7305531,0,0,0,0,
79thVincennes,2013,2007,2031,155,12351,2409359,0,0,64297,2146880,0,0,0,0,
83rdStewart,2013,2004,2028,133,1086898,2963958,0,0,670150,569534,0,0,17770,0,
87thCottageGrove,2013,2002,2026,127,1400621,18695746,0,0,807015,5535500,1687250,0,25863,0,
89thState,2013,1998,2021,49,302449,4282013,0,0,140366,600313,0,0,0,0,
95thStonyIsland,2013,1990,2014,8,1028295,14279397,0,0,23127,3254719,0,0,17876,0,
95thWestern,2013,1995,2018,9,565674,10429482,1200000,1200000,154646,5131299,0,0,10594,0,
105thVincennes,2013,2001,2025,111,304844,2209772,353380,906761,761108,79281,0,0,0,0,
111thKedzie,2013,1999,2022,73,511949,5759147,0,0,326267,3203993,0,0,10313,0,
119thHalsted,2013,2002,2026,114,570342,5820503,0,0,244845,3515651,280500,0,10211,79263,Local Initiatives Support Corporation
119thI57,2013,2002,2026,125,1841441,12620212,950000,950000,3479094,5745995,353380,0,41545,214500,Local Initiatives Support Corporation
126thTorrence,2013,1994,2017,10,899846,7272069,0,0,1045263,1215193,0,0,0,0,
134thAvenueK,2013,2008,2032,159,700,26219,0,0,1210,20593,0,0,0,0,
AddisonNorth,2013,1997,2020,11,1339117,17206813,0,0,40952,9154681,1354000,0,23791,0,
AddisonSouth,2013,2007,2031,150,2203397,13595613,0,0,789329,11618328,0,0,43010,0,
ArcherCentral,2013,2000,2024,99,389022,7516282,0,240000,312085,3417622,0,0,0,0,
ArcherCourts,2013,1999,2023,67,377836,3474265,0,2235487,112683,1860322,0,0,0,0,
ArcherWestern,2013,2009,2033,163,150544,1150100,0,0,12584,842681,0,0,0,0,
ArmitagePulaski,2013,2007,2031,151,20637,1583905,0,0,91625,1112204,0,0,0,0,
AustinCommercial,2013,2007,2031,156,553732,6822827,0,0,727222,4321034,0,0,10061,0,
AvalonSouthShore,2013,2002,2026,123,388028,6252224,0,0,152534,2665980,529272,0,0,0,
Avondale,2013,2009,2033,167,-13488,522653,0,1000000,44449,1165661,0,0,0,0,
BelmontCentral,2013,2000,2024,81,2382654,29763215,0,0,284659,11432894,1994811,0,43433,0,
BelmontCicero,2013,2000,2024,82,982468,12248360,0,0,302754,4713161,0,0,17755,0,
Bronzeville,2013,1998,2022,61,2980379,39113437,0,2500000,1805325,16158744,0,0,56503,0,
BrynMawrBroadway,2013,1996,2019,13,1732136,17785748,0,4684947,384223,10831431,1125000,0,31031,0,
CalumetCermak,2013,1998,2021,59,4504076,103413835,0,0,220798,15951693,6000000,0,170286,0,
CalumetRiver,2013,2010,2034,168,0,0,0,0,0,0,0,0,0,0,
CanalCongress,2013,1998,2022,63,16861700,175196125,0,1091731,1049870,61191121,0,3987000,362086,0,
CentralWest,2013,2000,2024,86,12914078,123434274,11698551,70617714,10325079,68384833,0,0,0,0,
ChicagoCentralPark,2013,2002,2026,115,4272824,48725574,7418559,51321501,13722741,66436822,0,0,77072,10789872,Wells Fargo Bank
ChicagoKingsbury,2013,2000,2024,94,18446757,121347845,0,0,1774002,50158372,0,2240000,358261,0,
ChicagoLakeside,2013,2010,2034,170,0,0,0,0,0,0,0,0,0,0,
ClarkMontrose,2013,1999,2022,70,2045345,20594122,0,2000000,1974966,7640521,2000000,0,37262,0,
ClarkRidge,2013,1999,2022,74,1697017,19214878,0,0,844532,6598692,3136000,0,31317,0,
CiceroArcher,2013,2000,2024,96,464594,8100963,0,0,214339,7190397,0,0,0,0,
Commercial,2013,2002,2026,128,0,14624237,0,0,292349,11210265,0,0,20259,0,
DevonSheridan,2013,2004,2028,134,102650,4159089,3136000,3136000,0,0,0,0,0,0,
DevonWestern,2013,1999,2023,76,1905201,26828693,550000,550000,1161937,7596900,1680289,0,36069,0,
DiverseyNarragansett,2013,2003,2027,129,1784681,17259084,0,0,1449870,2554087,0,0,33548,0,
DivisionHoman,2013,2001,2025,107,970048,11029180,0,0,473811,7963214,0,0,18585,0,
Drexel,2013,2002,2026,122,319404,2331298,0,0,363763,139656,0,0,0,0,
EdgewaterAshland,2013,2003,2027,130,219887,4638276,0,0,19775,1878764,0,0,0,0,
ElstonArmstrong,2013,2007,2031,153,70176,2114209,0,0,169222,1426224,0,0,0,0,
EnglewoodMall,2013,1989,2013,21,239594,7960114,0,0,354181,4722778,0,0,0,0,
EnglewoodNeighborhood,2013,2001,2025,106,3933652,40974636,0,0,4093301,24050836,0,0,71822,0,
Ewing,2013,2010,2034,169,294047,598941,2734600,4808056,90695,3663825,0,0,0,0,
FullertonMilwaukee,2013,2000,2024,87,5375724,57623150,0,52044,3970265,24575181,0,0,110218,2982795,Wells Fargo Bank
GalewoodArmitage,2013,1999,2022,71,2433602,22965931,2247003,8841013,3983268,24371478,0,0,44131,2511626,Wells Fargo Bank
GooseIsland,2013,1996,2019,23,3023418,40662700,0,0,2606169,13320394,0,0,66177,1977180,Amalgamated Bank
GreaterSouthwestEast,2013,1999,2023,66,584992,8052894,0,0,259560,3202102,0,0,10491,0,
