tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
105thVincennes,2014,2001,2025,111,133001,2342773,353381,1260142,451939,114502,0,0,0,0,
107thHalsted,2014,2014,2038,176,0,0,0,0,0,0,0,0,0,0,
111thKedzie,2014,1999,2022,73,525591,6284738,0,0,461267,3278114,0,0,10740,0,
119thHalsted,2014,2002,2026,114,575934,6396437,97500,97500,75316,4124936,0,0,11562,0,
119thI57,2014,2002,2026,125,2459698,15079910,0,950000,2973662,4895102,353381,0,49635,0,
126thTorrence,2014,1994,2017,10,954516,8226585,0,0,1254049,918519,0,0,19570,0,
134thAvenueK,2014,2008,2014,159,1785,28004,0,0,7446,14994,0,0,0,0,
24thMichigan,2014,1999,2022,72,984113,9948909,23902753,104712753,53804217,14712197,4115000,0,20342,0,
26thKing,2014,2006,2030,141,641682,4254454,0,0,605122,883109,0,0,13498,0,
35thHalsted,2014,1997,2021,1,4540874,45126247,0,1743618,1948674,22985458,0,0,103592,0,
35thState,2014,2004,2028,131,1521272,9150941,2500000,2500000,3914475,2733347,0,0,30455,0,
35thWallace,2014,1999,2023,79,656208,5565912,0,0,67950,4772933,0,0,12995,0,
41stKing,2014,1994,2018,2,168003,2589923,0,0,84284,1016255,0,0,0,0,
43rdCottageGrove,2014,1998,2022,55,2212285,25416394,0,0,224802,15261027,0,0,44665,0,
45thWestern,2014,2002,2014,120,20702,1142066,0,0,7871,465867,0,0,0,0,
47thAshland,2014,2002,2026,117,1957476,25130881,218570,2037903,5153516,15425689,0,0,40142,1697002,Amalgamated Bank
47thHalsted,2014,2002,2026,121,2379634,27345575,0,3950064,1400237,15030184,218570,0,47520,0,
47thKing,2014,2002,2026,118,6083572,65966672,0,0,4993653,33907239,0,0,136338,0,
47thState,2014,2004,2028,136,1137051,13169443,0,0,101032,8683187,0,0,22994,0,
49thStLawrence,2014,1996,2020,4,390241,4925685,0,0,77832,2837963,0,140920,0,0,
51stArcher,2014,2000,2024,97,428257,6939158,2707622,20772898,4511031,7771110,0,0,0,3425516,"Amalgamated Bank, Wells Fargo Bank"
51stLakePark,2014,2012,2036,175,0,0,0,0,0,0,0,0,0,0,
53rd,2014,2001,2025,105,1025942,8176551,0,0,800520,1874122,0,0,20532,0,
60thWestern,2014,1996,2019,5,86444,4859427,0,0,7212,1567441,2000000,0,0,0,
63rdAshland,2014,2006,2030,143,682833,4456545,2000000,2400000,2342470,3598335,0,0,13581,0,
63rdPulaski,2014,2000,2024,98,1560518,22979977,0,0,245617,5360838,1677626,0,30926,0,
67thCicero,2014,2002,2026,124,184254,2638722,2934023,3284023,2571625,1424424,0,0,0,0,
67thWentworth,2014,2011,2035,174,0,0,0,0,0,0,0,0,0,0,
69thAshland,2014,2004,2028,138,586271,3947671,0,0,16418,1432327,0,0,0,0,
71stStonyIsland,2014,1998,2021,60,2793166,34748564,5268841,36098926,10338475,16299774,0,0,55344,6821479,Wells Fargo Bank
73rdUniversity,2014,2006,2030,145,92772,3438166,0,0,4867,2903589,0,106200,0,0,
79th,2014,1998,2021,56,600042,9176980,0,0,64730,6222771,0,376410,12104,0,
79thCicero,2014,2005,2029,140,535878,3076911,0,0,506395,166956,0,0,10766,0,
79thSWHighway,2014,2001,2025,112,1111944,13224048,0,0,32278,7668659,0,738600,21889,0,
79thVincennes,2014,2007,2031,155,64931,2474290,0,0,4931,2100214,0,113080,0,0,
83rdStewart,2014,2004,2028,133,768701,3732659,0,0,524120,815954,0,0,16085,0,
87thCottageGrove,2014,2002,2026,127,1418590,20114336,0,0,401369,4883138,1688175,0,26455,0,
95thStonyIsland,2014,1990,2014,8,971633,15251030,0,0,35391,4147598,0,0,20690,0,
95thWestern,2014,1995,2018,9,570670,11000152,0,1200000,1185610,4536386,0,0,12601,0,
AddisonNorth,2014,1997,2020,11,1250442,18457255,0,0,37313,2184795,0,8200000,25448,0,
AddisonSouth,2014,2007,2031,150,1813584,15409197,0,0,1388379,11227589,0,850000,36829,0,
ArcherCentral,2014,2000,2024,99,385659,7901941,0,240000,1363101,2395244,0,54200,0,0,
ArcherCourts,2014,1999,2023,67,309505,3783770,0,2235487,105858,2035903,0,33880,0,0,
ArcherWestern,2014,2009,2033,163,-6736,1143364,0,0,147777,690382,0,0,0,0,
ArmitagePulaski,2014,2007,2031,151,3515,1587420,0,0,84383,1094944,0,0,0,0,
AustinCommercial,2014,2007,2031,156,503688,7326515,0,0,1417742,3418829,0,0,10379,0,
