,id,long,lat,order,hole,piece,group,objectid,shape_area,shape_len,value,medianincome
48,60601,-87.60245814,41.88834449,48,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
49,60601,-87.60245571,41.888329,49,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
50,60601,-87.60245916,41.88831357,50,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
51,60601,-87.60246813,41.8882995,51,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
52,60601,-87.60247896,41.8882904,52,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
53,60601,-87.60248204,41.88828781,53,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
54,60601,-87.60249969,41.88827945,54,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
55,60601,-87.60251975,41.88827507,55,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
56,60601,-87.60252402,41.88827472,56,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
57,60601,-87.60291972,41.88826626,57,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
58,60601,-87.60384059,41.88825227,58,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
59,60601,-87.6047759,41.88823694,59,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
60,60601,-87.60513539,41.88822945,60,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
61,60601,-87.60513616,41.8882294,61,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
62,60601,-87.60516198,41.88820956,62,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
63,60601,-87.60518428,41.88819241,63,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
64,60601,-87.60524621,41.88819143,64,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
65,60601,-87.60541301,41.88818876,65,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
66,60601,-87.60541185,41.88821054,66,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
67,60601,-87.60541108,41.88822362,67,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
68,60601,-87.60584023,41.88821869,68,FALSE,1,60601.1,27,9166245.8,19804.58211,23.63639269,"123,115"
