tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
105th/Vincennes,2021,2001,2025,111,1311739,8839356,0,2320284,55979,4778670,0,0,0,0,
107th/Halsted,2021,2014,2038,176,519754,2777495,0,1000000,244296,3409378,0,0,0,0,
111th/Kedzie,2021,1999,2023,73,957051,11408223,0,0,400454,2361159,0,0,0,0,
116th/Avenue O,2021,2018,2042,182,595644,627093,4512000,4512000,4522554,609005,0,0,0,0,
119th/Halsted,2021,2002,2026,114,1036352,13321360,0,97500,78499,6410447,0,0,0,0,
119th/I-57,2021,2002,2026,125,2951978,36996534,0,950000,1977787,9914123,0,0,29722,0,
24th/Michigan,2021,1999,2023,72,5417112,32844784,0,153861677,9901739,26031623,0,10563973,68793,0,
26th/King Drive,2021,2006,2030,141,973897,10163969,0,0,14268,4354155,0,0,0,0,
35th/Halsted,2021,1997,2033,1,12726077,104836939,0,3243618,16458755,29461743,5770000,0,155915,0,
35th/State,2021,2004,2028,131,2742330,24482128,0,3500000,2266252,3628289,0,0,26693,0,
35th/Wallace,2021,1999,2023,79,1696617,13957715,0,4500000,454618,13916565,0,0,16175,0,
43rd/Cottage Grove,2021,1998,2022,55,4668986,49001162,0,0,1991726,13990153,0,0,47251,0,
47th/Ashland,2021,2002,2026,117,3100766,42913933,0,2431313,2585005,9889434,0,0,33548,680810,Amalgamated Bank of Chicago
47th/Halsted,2021,2002,2026,121,3939031,49109562,0,3950064,1177635,18760533,0,0,40255,0,
47th/King Drive,2021,2002,2026,118,11625550,124047064,0,0,299110,47827856,0,0,140182,0,
47th/State,2021,2004,2028,136,2538949,24984893,0,0,441970,16963435,0,0,25527,0,
51st/Archer,2021,2000,2024,97,2363909,14768156,1656159,50019353,1058459,8119189,0,0,25578,309995,Amalgamated Bank of Chicago
51st/Lake Park,2021,2012,2036,175,1425853,5336808,0,0,1228326,1622339,0,0,15080,0,
53rd Street,2021,2001,2025,105,6690785,43096652,0,0,1247727,12411073,0,2027406,85318,0,
63rd/Ashland,2021,2006,2030,143,1003334,10729842,0,5400000,170684,5893494,0,0,10070,0,
63rd/Pulaski,2021,2000,2024,98,2340139,36131448,0,0,321832,5074715,1656159,0,24419,0,
67th/Cicero,2021,2002,2026,124,673712,4819373,0,3284023,460720,1299193,0,14244,0,0,
67th/Wentworth,2021,2011,2035,174,0,0,0,1175000,10082,1057131,0,0,0,0,
71st/Stony Island,2021,1998,2034,60,4587897,56917601,0,65288397,2600797,10501703,0,0,46027,0,
73rd/University,2021,2006,2030,145,581411,6226470,0,0,434402,2196028,0,0,0,0,
79th Street Corridor,2021,1998,2022,56,1275909,15428717,0,0,340260,7694217,0,0,0,0,
79th/Cicero,2021,2005,2029,140,613291,7155535,0,0,584994,1034836,0,0,0,0,
79th/Southwest Highway,2021,2001,2025,112,1847884,23595443,0,0,147878,10245084,0,0,20655,0,
79th/Vincennes,2021,2007,2031,155,411243,3878187,0,1000000,71986,3964792,0,0,0,0,
83rd/Stewart,2021,2004,2028,133,1316653,12123451,0,0,1316505,1727723,0,0,10206,0,
87th/Cottage Grove,2021,2002,2026,127,2654367,33155580,0,1375000,269119,9045831,0,0,25072,0,
95th/Western,2021,1995,2031,9,1805730,19022060,0,2400000,388707,3357367,0,0,0,0,
Addison South,2021,2007,2031,150,6692920,46551947,0,0,844558,15058560,0,3527529,83605,0,
Archer Courts,2021,1999,2023,67,492798,6820884,0,2235487,119191,2274455,0,317703,0,0,
Archer/Central,2021,2000,2024,99,700160,11145738,0,240000,471534,3022600,0,1946,0,0,
Archer/Western,2021,2009,2033,163,1639714,4967770,5770000,7970000,2238530,6504343,0,0,16444,0,
Armitage/Pulaski,2021,2007,2031,151,198411,2492927,0,0,306834,1052453,0,0,0,0,
Austin Commercial,2021,2007,2031,156,1549122,14465405,3000000,3235000,2074015,8720794,0,0,15293,0,
Avalon Park/South Shore,2021,2002,2026,123,690603,9680844,0,0,307648,2988102,0,0,0,0,
Avondale,2021,2009,2033,167,205181,1163342,0,2900000,122353,1498131,0,0,0,0,
Belmont/Central,2021,2000,2024,81,5750797,61661815,0,938,1068022,27951248,0,0,72152,0,
Belmont/Cicero,2021,2000,2024,82,1341708,21156757,0,0,46749,7165222,0,58296,14054,0,
Bronzeville,2021,1998,2022,61,6126309,72695768,0,10400000,1891183,38792340,0,0,76097,0,
Bryn Mawr/Broadway,2021,1996,2032,13,3413223,36434537,15289335,45567202,15722021,5762375,0,3124244,33039,0,
Canal/Congress,2021,1998,2022,63,45858015,418847604,0,10966931,5700685,100704376,0,16287960,601265,0,
Central West,2021,2000,2024,86,34225840,311694510,0,70617714,3773420,70060520,0,15531407,429959,0,
Chicago/Central Park,2021,2002,2026,115,6863575,94197435,5036857,116980606,2594473,37667900,0,0,82442,2149276,Amalgamated Bank of Chicago
Chicago/Kingsbury,2021,2000,2024,94,37902378,342363963,0,0,480025,32625515,0,33845864,472423,0,
Cicero/Archer,2021,2000,2024,96,912715,13759841,0,0,201932,5249118,0,2093727,0,0,
Clark/Montrose,2021,1999,2023,70,5100137,48557004,0,2000000,2934235,10469605,0,3258308,60413,0,
Clark/Ridge,2021,1999,2023,74,3842896,38638541,0,3000000,1261426,12483452,0,0,38118,0,
Commercial Avenue,2021,2002,2026,128,2154787,24538035,0,0,477036,13210351,0,0,21891,0,
Cortland/Chicago River,2021,2019,2043,183,4124939,7764831,61312074,61412074,367340,68779527,0,0,0,0,
Devon/Sheridan,2021,2004,2028,134,1848000,11897085,1979212,7985709,3338746,4371914,0,0,18191,0,
Devon/Western,2021,1999,2023,76,4271548,48287388,0,5140000,980058,5399956,3076677,0,43585,0,
Diversey/Chicago River,2021,2016,2040,179,734754,1182792,0,526000,8972,1386434,0,0,0,0,
Diversey/Narragansett,2021,2003,2027,129,3066237,35420486,0,0,2171935,6303316,0,0,32883,0,
Division/Homan,2021,2001,2025,107,2155873,22543417,0,0,2379229,9607274,0,82782,22449,0,
Edgewater/Ashland,2021,2003,2027,130,459809,9279876,0,1400000,8814,6589981,0,231048,0,0,
Elston/Armstrong Industrial Corridor,2021,2007,2031,153,1189955,6487432,0,0,424270,3528201,0,0,11316,0,
Englewood Mall,2021,1989,2025,21,547652,12485152,0,7545883,152036,6145726,0,0,0,0,
Englewood Neighborhood,2021,2001,2025,106,3096110,69671849,0,0,1079596,23799976,0,0,30881,0,
Ewing Avenue,2021,2010,2034,169,330890,2489737,0,6508056,16768,1646738,0,0,0,0,
Foster/California,2021,2014,2038,177,-139773,554627,0,6744830,2909,549177,0,0,0,0,
Foster/Edens,2021,2018,2042,181,1770206,2760697,0,0,28209,2757318,0,0,0,0,
Fullerton/Milwaukee,2021,2000,2024,87,15542246,131962492,0,52044,1859167,43838482,0,0,189522,838892,Amalgamated Bank of Chicago
Galewood/Armitage Industrial,2021,1999,2023,71,5567408,52950825,0,26197449,2109279,14806848,0,0,68045,1108478,Amalgamated Bank of Chicago
Goose Island,2021,1996,2032,23,8250743,86560946,21000000,31000000,707256,33994499,0,9367052,112302,0,
Greater Southwest Industrial (East),2021,1999,2023,66,1435461,15905206,0,0,902280,4738841,0,0,15129,0,
Greater Southwest Industrial (West),2021,2000,2024,92,230769,14458711,0,976540,103169,7000409,0,0,0,0,
Harrison/Central,2021,2006,2030,144,266833,5143592,0,7925254,100936,1259772,0,0,0,0,
Hollywood/Sheridan,2021,2007,2031,157,1554879,5638783,13368424,53456476,13322666,3936273,0,0,15220,0,
Homan/Arthington,2021,1998,2022,24,760059,11509822,0,1062798,105427,3037192,0,366918,0,0,
Humboldt Park Commercial,2021,2001,2025,108,5775568,54979236,0,0,3006194,21681072,0,0,68346,0,
Jefferson Park,2021,1998,2022,57,1978856,17559105,0,3353000,835735,5988968,0,0,18546,0,
Jefferson/Roosevelt,2021,2000,2024,101,12452939,99196712,0,12500000,528113,24476736,0,0,156794,0,
Kennedy/Kimball,2021,2008,2032,160,1379144,4528317,0,0,159906,3855817,0,0,0,0,
Kinzie Industrial Corridor,2021,1998,2022,52,73894401,498424034,0,0,16600391,214467921,10136857,2911943,854920,0,
Lake Calumet Area Industrial,2021,2000,2024,103,5887437,59153795,0,4284000,378001,18326382,4512000,0,72921,0,
Lakefront,2021,2002,2026,119,444345,4942145,0,0,500558,1592647,0,170974,0,0,
LaSalle Central,2021,2006,2030,147,151520861,638411008,0,9232000,13083474,196978275,0,62844432,1920658.32,0,
Lawrence/Broadway,2021,2001,2025,109,6744336,63180740,18358463,60058148,18643399,28618810,575824,0,84046,0,
Lawrence/Kedzie,2021,2000,2024,88,9395519,124301328,0,3500000,4471509,20540431,0,1623019,112925,3966750,Zions Bank
Lawrence/Pulaski,2021,2002,2026,116,2517725,24936061,0,2900000,380411,9867647,0,0,25368,0,
Lincoln Avenue,2021,1999,2023,77,4011804,52416654,0,22342064,900389,9560702,0,1464045,40592,0,
Little Village East,2021,2009,2033,164,216953,777404,0,1280000,499605,1251876,0,0,0,0,
Little Village Industrial Corridor,2021,2007,2031,152,1406584,3619009,0,0,149886,2281039,0,0,14387,0,
Madden/Wells,2021,2002,2026,126,1621528,16338775,0,1051820,575972,5754037,0,0,16810,0,
Madison/Austin Corridor,2021,1999,2023,75,3358133,36290747,0,64687897,158256,10926537,0,0,34677,0,
Michigan/Cermak,2021,1989,2025,29,3702629,25233936,0,13810000,125209,5754797,0,4412537,39145,0,
Midway Industrial Corridor,2021,2000,2024,89,4815822,44970134,0,0,321095,8271929,0,0,41244,0,
Midwest,2021,2000,2036,95,17680197,242989452,5100000,17354510,5625506,59133291,800000,0,214761,0,
Montclare,2021,2000,2024,102,318031,5830389,0,0,265330,966838,0,0,0,0,
Montrose/Clarendon,2021,2010,2034,173,1773409,4273620,0,0,27294,4265683,0,0,20028,0,
Near North,2021,1997,2033,30,38267614,397610759,0,3546644,7814548,99957410,0,68858463,472039,0,
North Branch North,2021,1997,2021,33,8794749,94352245,0,16180604,5399153,0,52712074,1852167,114935,0,
North Branch South,2021,1998,2022,34,9269915,131516711,0,2500000,276650,25864063,29600000,0,126565,0,
North Pullman,2021,2009,2033,166,3506484,13425721,0,18476284,3873378,6866182,0,0,28563,0,
North/Cicero,2021,1997,2021,35,1961380,24735630,0,0,122075,0,11231438,485868,21875,0,
Northwest Industrial Corridor,2021,1998,2022,64,11669624,125348953,0,521583,3002714,41960870,0,0,139625,0,
Ogden/Pulaski,2021,2008,2032,161,165653,7928487,0,3485500,488863,5888884,0,0,0,0,
Ohio/Wabash,2021,2000,2024,100,2160475,28449723,0,0,2047110,2210728,0,0,0,0,
