tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
24thMichigan,2011,1999,2022,72,1331578,6732275,4310000,32690000,4858893,4312727,0,0,15239,0,
26thKing,2011,2006,2030,141,935460,2195408,0,0,19090201,271012,0,0,12808,0,
35thHalsted,2011,1997,2021,1,5786159,30961290,0,1743618,2010440,21477475,0,2000000,63911,0,
35thState,2011,2004,2028,131,2395186,5810870,0,0,282192,4841426,0,0,22914,0,
35thWallace,2011,1999,2023,79,906197,3535680,0,0,25760,3153280,0,0,0,0,
40thState,2011,2004,2028,132,0,0,0,0,0,0,0,0,0,0,
41stKing,2011,1994,2017,2,223086,2102599,0,0,71215,876942,0,0,0,0,
43rdCottageGrove,2011,1998,2022,55,3030411,18315751,0,0,972225,9144966,0,0,30418,0,
45thWestern,2011,2002,2026,120,72452,966892,0,0,3473,312974,0,0,0,0,
47thAshland,2011,2002,2026,117,3000744,18633455,218603,1381778,14987255,19733059,0,0,33527,968002,Wells Fargo Bank
47thHalsted,2011,2002,2026,121,3780339,19592886,0,0,860932,13942869,218603,0,38658,0,
47thKing,2011,2002,2026,118,8932226,46959716,0,0,17601901,34091838,450000,6000000,90931,0,
47thState,2011,2004,2028,136,1770200,9177166,0,0,284494,6290817,0,2000000,18974,0,
49thStLawrence,2011,1996,2020,4,535343,3698672,0,0,905122,2350484,0,0,0,0,
51stArcher,2011,2000,2024,97,835419,5495623,4834995,12986922,3158818,12876704,0,0,0,2752073,Wells Fargo Bank
53rd,2011,2001,2025,105,935026,6150862,0,0,22694841,2376845,0,0,11551,0,
60thWestern,2011,1996,2019,5,217464,4066422,0,0,9762,3607525,0,0,0,0,
63rdAshland,2011,2006,2030,143,1588823,1588823,0,0,14897,1574590,0,0,0,0,
63rdPulaski,2011,2000,2024,98,3007628,17560357,0,0,58130,6462595,3978124,1000000,34925,0,
67thCicero,2011,2002,2026,124,560099,1952985,0,0,295612,686832,0,0,0,0,
67thWentworth,2011,2011,2035,174,0,0,0,0,0,0,0,0,0,0,
69thAshland,2011,2004,2028,138,579971,2384099,0,0,235435,1079091,0,0,0,0,
71stStonyIsland,2011,1998,2021,60,4452265,25843488,4317536,21596994,16831116,15894934,0,0,47594,5897250,Wells Fargo Bank
72ndCicero,2011,1993,2016,6,294402,3713469,0,0,6110,2664646,0,0,0,0,
73rdKedzie,2011,1993,2016,7,0,562315,0,0,2787,425619,0,0,0,0,
73rdUniversity,2011,2006,2030,145,651927,2686563,0,0,9474,2506159,0,0,0,0,
79th,2011,1998,2021,56,1135740,7125422,0,0,75667,5804403,0,0,12255,0,
79thCicero,2011,2005,2029,140,541103,1517850,0,0,914786,586164,0,0,0,0,
79thSWHighway,2011,2001,2025,112,2111696,9472548,0,0,1393414,5398764,0,0,21198,0,
79thVincennes,2011,2007,2031,155,507239,2060225,0,0,8535,1865644,0,0,0,0,
83rdStewart,2011,2004,2028,133,425972,1475104,0,0,8757,1364145,0,0,0,0,
87thCottageGrove,2011,2002,2026,127,2854877,15280592,0,0,201803,6862887,1485177,0,31042,0,
89thState,2011,1998,2021,49,468343,3621549,0,0,799696,88063,0,0,0,0,
95thStonyIsland,2011,1990,2014,8,1025658,12227280,0,0,844775,2068462,0,0,10961,0,
95thWestern,2011,1995,2018,9,1005452,8941378,0,0,899865,4798936,0,0,11153,610834,Charter One Bank NA
105thVincennes,2011,2001,2025,111,342130,1552343,0,0,6866,1489234,0,0,0,0,
111thKedzie,2011,1999,2022,73,785613,4541341,0,0,217324,2666952,0,0,0,0,
119thHalsted,2011,2002,2026,114,823604,4771807,0,0,671524,3674791,0,0,10870,205733,Local Initiatives Support Corporation
119thI57,2011,2002,2026,125,2554300,8258441,0,0,486487,5518764,0,0,22607,214875,Local Initiatives Support Corporation
126thTorrence,2011,1994,2017,10,762889,5703338,0,0,13801,1277733,0,0,10337,0,
134thAvenueK,2011,2008,2032,159,22588,25519,0,0,515,22188,0,0,0,0,
AddisonNorth,2011,1997,2020,11,1696783,14340417,0,0,163123,8692808,0,3500000,17969,0,
AddisonSouth,2011,2007,2031,150,3011361,8424649,0,0,172905,8132601,0,0,30937,0,
