tif_name,tif_number,2021_property_tax_extrction,cumulative_property_tax_extraction,2021_transfers_in,cumulative_transfers_in,2021_expenses,fund_balance_end_2021,2021_transfers_out,2021_distribution,admin_costs,finance_costs,bank
105th/Vincennes,111,1311739,8839356,0,2320284,55979,4778670,0,0,33291,0,
107th/Halsted,176,519754,2777495,0,1000000,244296,3409378,0,0,61877,0,
111th/Kedzie,73,957051,11408223,0,0,400454,2361159,0,0,43015,0,
116th/Avenue O,182,595644,627093,4512000,4512000,4522554,609005,0,0,10554,0,
119th/Halsted,114,1036352,13321360,0,97500,78499,6410447,0,0,21765,0,
119th/I-57,125,2951978,36996534,0,950000,1977787,9914123,0,0,45719,0,
24th/Michigan,72,5417112,32844784,0,153861677,9901739,26031623,0,10563973,149226,0,
26th/King Drive,141,973897,10163969,0,0,14268,4354155,0,0,14268,0,
35th/Halsted,1,12726077,104836939,0,3243618,16458755,29461743,5770000,0,180725,0,
35th/State,131,2742330,24482128,0,3500000,2266252,3628289,0,0,50149,0,
35th/Wallace,79,1696617,13957715,0,4500000,454618,13916565,0,0,33381,0,
43rd/Cottage Grove ,55,4668986,49001162,0,0,1991726,13990153,0,0,114772,0,
47th/Ashland,117,3100766,42913933,0,2431313,2585005,9889434,0,0,89985,680810,Amalgamated Bank of Chicago
47th/Halsted,121,3939031,49109562,0,3950064,1177635,18760533,0,0,62472,0,
47th/King Drive,118,11625550,124047064,0,0,299110,47827856,0,0,153441,0,
47th/State,136,2538949,24984893,0,0,441970,16963435,0,0,36195,0,
51st/Archer,97,2363909,14768156,1656159,50019353,1058459,8119189,0,0,35685,309995,Amalgamated Bank of Chicago
51st/Lake Park,175,1425853,5336808,0,0,1228326,1622339,0,0,21155,0,
53rd Street,105,6690785,43096652,0,0,1247727,12411073,0,2027406,99477,0,
63rd/Ashland,143,1003334,10729842,0,5400000,170684,5893494,0,0,21291,0,
63rd/Pulaski,98,2340139,36131448,0,0,321832,5074715,1656159,0,53851,0,
67th/Cicero,124,673712,4819373,0,3284023,460720,1299193,0,14244,9055,0,
67th/Wentworth,174,0,0,0,1175000,10082,1057131,0,0,0,0,
71st/Stony Island,60,4587897,56917601,0,65288397,2600797,10501703,0,0,134415,0,
73rd/University,145,581411,6226470,0,0,434402,2196028,0,0,11257,0,
79th Street Corridor,56,1275909,15428717,0,0,340260,7694217,0,0,85998,0,
79th/Cicero,140,613291,7155535,0,0,584994,1034836,0,0,10916,0,
79th/Southwest Highway,112,1847884,23595443,0,0,147878,10245084,0,0,39553,0,
79th/Vincennes,155,411243,3878187,0,1000000,71986,3964792,0,0,12533,0,
83rd/Stewart,133,1316653,12123451,0,0,1316505,1727723,0,0,12645,0,
87th/Cottage Grove,127,2654367,33155580,0,1375000,269119,9045831,0,0,46542,0,
95th/Western,9,1805730,19022060,0,2400000,388707,3357367,0,0,55674,0,
Addison South,150,6692920,46551947,0,0,844558,15058560,0,3527529,88293,0,
Archer Courts,67,492798,6820884,0,2235487,119191,2274455,0,317703,9030,0,
Archer/Central,99,700160,11145738,0,240000,471534,3022600,0,1946,16787,0,
Archer/Western,163,1639714,4967770,5770000,7970000,2238530,6504343,0,0,27606,0,
