tif_name,tif_number,2021_property_tax_extrction,cumulative_property_tax_extraction,2021_transfers_in,cumulative_transfers_in,2021_expenses,fund_balance_end_2021,2021_transfers_out,2021_distribution,admin_costs,finance_costs,bank
Armitage/Pulaski,151,198411,2492927,0,0,306834,1052453,0,0,11706,0,
Austin Commercial,156,1549122,14465405,3000000,3235000,2074015,8720794,0,0,66032,0,
Avalon Park/South Shore,123,690603,9680844,0,0,307648,2988102,0,0,13388,0,
Avondale,167,205181,1163342,0,2900000,122353,1498131,0,0,8774,0,
Belmont/Central,81,5750797,61661815,0,938,1068022,27951248,0,0,143022,0,
Belmont/Cicero,82,1341708,21156757,0,0,46749,7165222,0,58296,24065,0,
Bronzeville,61,6126309,72695768,0,10400000,1891183,38792340,0,0,290107,0,
Bryn Mawr/Broadway,13,3413223,36434537,15289335,45567202,15722021,5762375,0,3124244,60583,0,
Canal/Congress,63,45858015,418847604,0,10966931,5700685,100704376,0,16287960,605374,0,
Central West,86,34225840,311694510,0,70617714,3773420,70060520,0,15531407,466619,0,
Chicago/Central Park,115,6863575,94197435,5036857,116980606,2594473,37667900,0,0,146046,2149276,Amalgamated Bank of Chicago
Chicago/Kingsbury,94,37902378,342363963,0,0,480025,32625515,0,33845864,475575,0,
Cicero/Archer,96,912715,13759841,0,0,201932,5249118,0,2093727,16485,0,
Clark/Montrose,70,5100137,48557004,0,2000000,2934235,10469605,0,3258308,188857,0,
Clark/Ridge,74,3842896,38638541,0,3000000,1261426,12483452,0,0,58129,0,
Commercial Avenue,128,2154787,24538035,0,0,477036,13210351,0,0,47136,0,
Cortland/Chicago River,183,4124939,7764831,61312074,61412074,367340,68779527,0,0,58371,0,
Devon/Sheridan,134,1848000,11897085,1979212,7985709,3338746,4371914,0,0,38267,0,
Devon/Western,76,4271548,48287388,0,5140000,980058,5399956,3076677,0,100270,0,
Diversey/Chicago River ,179,734754,1182792,0,526000,8972,1386434,0,0,8972,0,
Diversey/Narragansett,129,3066237,35420486,0,0,2171935,6303316,0,0,43398,0,
Division/Homan,107,2155873,22543417,0,0,2379229,9607274,0,82782,35119,0,
Edgewater/Ashland,130,459809,9279876,0,1400000,8814,6589981,0,231048,8814,0,
Elston/Armstrong Industrial Corridor,153,1189955,6487432,0,0,424270,3528201,0,0,17417,0,
Englewood Mall,21,547652,12485152,0,7545883,152036,6145726,0,0,38868,0,
Englewood Neighborhood,106,3096110,69671849,0,0,1079596,23799976,0,0,66472,0,
Ewing Avenue,169,330890,2489737,0,6508056,16768,1646738,0,0,10670,0,
Foster/California,177,-139773,554627,0,6744830,2909,549177,0,0,2909,0,
Foster/Edens,181,1770206,2760697,0,0,28209,2757318,0,0,28209,0,
Fullerton/Milwaukee,87,15542246,131962492,0,52044,1859167,43838482,0,0,209764,838892,Amalgamated Bank of Chicago
Galewood/Armitage Industrial,71,5567408,52950825,0,26197449,2109279,14806848,0,0,81176,1108478,Amalgamated Bank of Chicago
Goose Island,23,8250743,86560946,21000000,31000000,707256,33994499,0,9367052,128858,0,
Greater Southwest Industrial (East),66,1435461,15905206,0,0,902280,4738841,0,0,28059,0,
Greater Southwest Industrial (West),92,230769,14458711,0,976540,103169,7000409,0,0,19885,0,
Harrison/Central,144,266833,5143592,0,7925254,100936,1259772,0,0,9420,0,
Hollywood/Sheridan,157,1554879,5638783,13368424,53456476,13322666,3936273,0,0,625000,0,
Homan/Arthington ,24,760059,11509822,0,1062798,105427,3037192,0,366918,57937,0,
Humboldt Park Commercial,108,5775568,54979236,0,0,3006194,21681072,0,0,103232,0,
Jefferson Park,57,1978856,17559105,0,3353000,835735,5988968,0,0,31499,0,
Jefferson/Roosevelt,101,12452939,99196712,0,12500000,528113,24476736,0,0,160003,0,
Kennedy/Kimball,160,1379144,4528317,0,0,159906,3855817,0,0,25706,0,
Kinzie Industrial Corridor,52,73894401,498424034,0,0,16600391,214467921,10136857,2911943,979481,0,
Lake Calumet Area Industrial,103,5887437,59153795,0,4284000,378001,18326382,4512000,0,131148,0,
Lakefront,119,444345,4942145,0,0,500558,1592647,0,170974,8872,0,
LaSalle Central,147,151520861,638411008,0,9232000,13083474,196978275,0,62844432,1941892,0,
Lawrence/Broadway,109,6744336,63180740,18358463,60058148,18643399,28618810,575824,0,102305,0,
Lawrence/Kedzie,88,9395519,124301328,0,3500000,4471509,20540431,0,1623019,149834,3966750,Zions Bank
Lawrence/Pulaski,116,2517725,24936061,0,2900000,380411,9867647,0,0,52053,0,
Lincoln Avenue,77,4011804,52416654,0,22342064,900389,9560702,0,1464045,55020,0,
Little Village East ,164,216953,777404,0,1280000,499605,1251876,0,0,5312,0,
Little Village Industrial Corridor,152,1406584,3619009,0,0,149886,2281039,0,0,24214,0,
Madden/Wells,126,1621528,16338775,0,1051820,575972,5754037,0,0,24747,0,
Madison/Austin Corridor,75,3358133,36290747,0,64687897,158256,10926537,0,0,44865,0,
Michigan/Cermak,29,3702629,25233936,0,13810000,125209,5754797,0,4412537,61374,0,
Midway Industrial Corridor,89,4815822,44970134,0,0,321095,8271929,0,0,61835,0,
Midwest,95,17680197,242989452,5100000,17354510,5625506,59133291,800000,0,426695,0,
Montclare,102,318031,5830389,0,0,265330,966838,0,0,7818,0,
Montrose/Clarendon,173,1773409,4273620,0,0,27294,4265683,0,0,27294,0,
Near North,30,38267614,397610759,0,3546644,7814548,99957410,0,68858463,652431,0,
North Branch North,33,8794749,94352245,0,16180604,5399153,0,52712074,1852167,119345,0,
North Branch South,34,9269915,131516711,0,2500000,276650,25864063,29600000,0,187552,0,
North Pullman,166,3506484,13425721,0,18476284,3873378,6866182,0,0,45365,0,
North/Cicero,35,1961380,24735630,0,0,122075,0,11231438,485868,29376,0,
Northwest Industrial Corridor,64,11669624,125348953,0,521583,3002714,41960870,0,0,224659,0,
Ogden/Pulaski,161,165653,7928487,0,3485500,488863,5888884,0,0,130926,0,
Ohio/Wabash,100,2160475,28449723,0,0,2047110,2210728,0,0,0,0,
Peterson/Cicero,90,649073,6938861,0,0,94127,2140186,0,0,13418,0,
Peterson/Pulaski,91,2093295,17959561,0,0,684083,5995158,0,2080899,55120,0,
Pilsen Industrial Corridor,53,25623906,230123633,0,0,9913511,64491602,0,0,466326,4868625,Amalgamated Bank of Chicago
Portage Park,58,4181740,48595912,0,1000000,516502,11835569,0,3758528,74116,0,
Pratt/Ridge Industrial Park Conservation Area,135,854976,4514112,0,0,10830,3719014,0,0,10830,0,
Pulaski Industrial Corridor,69,6972796,62551252,0,3000000,2166522,23702272,0,0,168887,0,
Randolph/Wells,172,14349414,39720662,0,29632000,175555,19719624,0,13113446,175555,0,
Red Purple Modernization Phase One (Transit TIF),180,55647235,174569412,0,0,677769,9436792,55000027,0,677769,0,
River South,37,22002244,307039204,0,102373006,11982153,0,51075247,39449074,300270,0,
River West,104,28981551,263835568,0,0,1193168,62378574,0,20883248,392632,0,
Roosevelt/Cicero Industrial Corridor,38,5171116,49881674,0,0,1614200,20112665,0,441388,185784,0,
Roosevelt/Clark,184,2257760,3779801,0,2450000,644925,56643691,0,0,30308,0,
Roosevelt/Racine ,62,2737529,26531943,0,11350000,1716359,7969504,0,150415,40163,0,
Roosevelt/Union,68,6975000,79822075,0,0,6204097,9443773,0,0,87044,0,
Roseland/Michigan,113,632237,8682066,0,0,167147,1421185,240135,0,136404,0,
Sanitary and Ship Canal,42,1246684,19046176,0,0,619643,2885660,0,0,22432,0,
South Chicago,93,1437995,21186775,0,0,318273,7737348,0,0,58451,0,
Stevenson Brighton,149,4884167,26752006,0,9300000,7331738,8825725,0,0,59804,0,
Stockyards Southeast Quadrant Industrial,45,2321841,46529365,0,3675608,464375,10398121,0,186363,38276,0,
Stony Island Commercial/Burnside Industrial,54,5567551,55278740,0,0,1426710,9905091,2000000,0,85364,0,
Touhy/Western,146,1060676,6689705,3076677,26902716,1606994,4701163,0,0,37743,1440580,"Zions Bank, Amalgamated Bank of Chicago"
Washington Park,178,1783568,5788828,0,6650000,65279,5714938,0,0,24401,0,
West Irving Park,83,1516622,18802011,0,2500000,206084,6471095,0,0,25410,0,
West Woodlawn,171,85,96815,0,2300000,256296,743129,0,0,125,0,
Western Avenue North,84,11612496,107926044,0,2250000,1460709,28458480,0,0,214383,0,
Western Avenue South,85,12468247,124406353,0,250000,3541081,37638233,0,10149242,204643,0,
Western/Ogden,48,14782600,140119409,0,0,2266766,39585587,0,0,233946,0,
Western/Rock Island,142,1354603,17066278,0,6031115,174199,4506507,0,0,68266,0,
Wilson Yard,110,11806561,128464288,0,20473465,20742650,14476253,0,0,168651,0,
Woodlawn,65,4922348,54138124,0,0,720366,19856036,0,0,62216,0,
