tif_name,tif_number,2020_property_tax_extrction,cumulative_property_tax_extraction,2020_transfers_in,cumulative_transfers_in,2020_expenses,fund_balance_end_2020,2020_transfers_out,2020_distribution,admin_costs,finance_costs,bank
Harrison/Central,144,179244,4876759,288609,7925254,493228,1095121,0,0,5090,0,
Hollywood/Sheridan,157,689437,4083904,28011956,40088052,28153723,2286238,0,284000,16276,0,
Homan/Arthington ,24,595706,10749763,0,1062798,792818,2752888,0,111000,10419,0,
Humboldt Park Commercial,108,4844254,49203668,0,0,1061546,18629475,0,0,65706,0,
Irving/Cicero,27,955213,13834363,0,1291443,726354,0,1000000,2204111,0,0,
Jefferson Park,57,1423473,15580249,2500000,3353000,4039538,4828490,0,0,32377,0,
Jefferson/Roosevelt,101,8885157,86743773,0,12500000,1774268,12461964,0,7529000,119525,0,
Kennedy/Kimball,160,1012499,3149173,0,0,43569,2624733,0,0,15069,0,
Kinzie Industrial Corridor,52,62715635,424529633,0,0,11665311,169833503,10660335,0,920614,0,
Lake Calumet Area Industrial,103,4955653,53266358,0,4284000,1504362,17295939,0,0,117943,0,
Lakefront,119,494093,4497800,0,0,210394,1822713,0,75000,8133,0,
LaSalle Central,147,119840238,486890147,0,9232000,20544846,121182204,0,100000000,1358528,0,
Lawrence/Broadway,109,5109549,56436404,41699685,41699685,42113595,22645516,575824,0,89697,0,
Lawrence/Kedzie,88,8489465,114905809,0,3500000,18758792,17179262,0,0,250166,18408176.45,Zions Bank
Lawrence/Pulaski,116,2047372,22418336,0,2900000,966959,7719291,0,74000,50850,0,
Lincoln Avenue,77,3629756,48404850,0,22342064,233361,7905485,0,1907000,50365,0,
Little Village East ,164,95841,560451,0,1280000,266787,1536689,0,0,8882,0,
Little Village Industrial Corridor,152,132896,2212425,0,0,153168,1018729,0,0,4397,0,
Madden/Wells,126,1597298,14717247,0,1051820,1333435,4698649,0,0,22096,0,
Madison/Austin Corridor,75,3033500,32932614,0,64687897,371638,7697376,144305,0,63239,0,
Michigan/Cermak,29,2934662,21531307,0,13810000,709526,6626986,0,5109000,38193,0,
Midway Industrial Corridor,89,2875401,40154312,0,0,100826,3747776,2500000,0,53640,0,
Midwest,95,15438112,225309255,0,12254510,7125109,42629086,115500,0,227997,0,
Montclare,102,341909,5512358,0,0,260200,914028,0,0,7044,0,
Montrose/Clarendon,173,1215515,2500211,0,0,39280,2504463,0,50000,16780,0,
Near North,30,34398642,359343145,0,3546644,3935581,139415438,0,0,464170,0,
North Branch North,33,8199442,85557496,0,16180604,831809,51049219,0,0,95412,0,
North Branch South,34,9041805,122246796,0,2500000,1093200,46658692,0,0,121377,0,
North Pullman,166,2795869,9919237,1796120,18476284,3364863,4993343,0,0,48040,0,
North/Cicero,35,1912890,22774250,0,0,675163,9859420,0,0,26610,0,
Northwest Industrial Corridor,64,9875536,113679329,0,521583,1177830,24986223,6000000,0,156567,0,
Ogden/Pulaski,161,58659,7762834,115500,3485500,250246,5408078,0,0,12501,0,
Ohio/Wabash,100,2047110,26289248,0,0,2012532,2114098,0,0,0,0,
Peterson/Cicero,90,567817,6289788,0,0,47768,1580019,0,2036769,10006,0,
Peterson/Pulaski,91,933198,15866266,0,0,393727,6700117,0,848000,37018,0,
Pilsen Industrial Corridor,53,22470976,204499727,0,0,9117520,48796787,0,16445000,537336,4841375,Amalgamated Bank of Chicago
Portage Park,58,3492861,44414172,1000000,1000000,1110320,11959510,2500000,2496000,66882,0,
Pratt/Ridge Industrial Park Conservation Area,135,204824,3659136,0,0,8362,2869700,0,0,8362,0,
Pulaski Industrial Corridor,69,5755391,55578456,0,3000000,1003295,18857464,0,0,86361,0,
Randolph/Wells,172,16166063,25371248,0,29632000,147313,18731311,0,62000,147313,0,
Red Purple Modernization Phase One (Transit TIF),180,48371096,118922177,0,0,582356,9445303,110169265,0,582356,0,
River South,37,18407336,285036960,0,102373006,20583069,80135842,2450000,14548000,282711,0,
River West,104,26809139,234854017,0,0,4399412,55588280,0,21124000,324077,0,
Roosevelt/Cicero Industrial Corridor,38,4169475,44710558,0,0,335014,16972600,144304,2496000,84150,0,
Roosevelt/Clark,184,1522041,1522041,2450000,2450000,75746,3986633,0,0,19604,0,
Roosevelt/Racine ,62,2159364,23794414,0,11350000,4289859,7097218,0,0,29232,0,
Roosevelt/Union,68,6281284,72847075,0,0,5942799,8711245,0,0,82094,0,
Roseland/Michigan,113,477531,8049829,0,0,397674,1199145,296120,0,26339,0,
Sanitary and Ship Canal,42,1057998,17799492,0,0,816424,2255525,0,0,19559,0,
